wave,inten,std
3420.660,4.390e+01,4.328e+00
3424.909,1.481e+01,4.223e+00
3429.159,1.647e+01,4.171e+00
3433.409,-1.132e+00,4.079e+00
3437.659,2.944e+01,4.229e+00
3441.909,2.065e+01,4.133e+00
3446.160,3.312e+01,4.250e+00
3450.411,1.565e+01,4.173e+00
3454.663,3.165e+01,4.276e+00
3458.915,8.990e+00,4.191e+00
3463.167,2.899e+01,4.338e+00
3467.420,1.714e+01,4.222e+00
3471.673,4.776e+01,4.416e+00
3475.926,2.115e-01,4.164e+00
3480.180,2.413e+01,4.275e+00
3484.434,9.855e+00,4.203e+00
3488.688,2.997e+01,4.317e+00
3492.943,1.713e+01,4.216e+00
3497.198,4.828e+01,4.389e+00
3501.454,4.166e+01,4.437e+00
3505.709,5.038e+01,4.434e+00
3509.965,2.188e+01,4.267e+00
3514.222,4.641e+01,4.376e+00
3518.479,1.439e+01,4.283e+00
3522.736,5.920e+01,4.480e+00
3526.993,5.027e+01,4.430e+00
3531.251,5.703e+01,4.526e+00
3535.509,3.273e+01,4.360e+00
3539.768,4.397e+01,4.420e+00
3544.027,4.582e+01,4.467e+00
3548.286,5.882e+01,4.499e+00
3552.546,4.836e+01,4.482e+00
3556.806,7.200e+01,4.603e+00
3561.066,6.381e+01,4.566e+00
3565.326,6.319e+01,4.593e+00
3569.587,4.983e+01,4.509e+00
3573.849,8.569e+01,4.777e+00
3578.110,4.869e+01,4.517e+00
3582.372,9.893e+01,4.756e+00
3586.635,7.178e+01,4.666e+00
3590.897,9.336e+01,4.812e+00
3595.160,7.242e+01,4.676e+00
3599.423,1.097e+02,4.862e+00
3603.687,9.719e+01,4.830e+00
3607.951,1.304e+02,5.022e+00
3612.215,1.131e+02,4.846e+00
3616.480,1.325e+02,5.051e+00
3620.745,1.184e+02,4.988e+00
3625.010,1.689e+02,5.196e+00
3629.276,1.480e+02,5.169e+00
3633.542,1.764e+02,5.320e+00
3637.809,1.809e+02,5.385e+00
3642.075,1.953e+02,5.422e+00
3646.342,1.990e+02,5.454e+00
3650.610,2.256e+02,5.509e+00
3654.877,2.183e+02,5.598e+00
3659.145,2.523e+02,5.748e+00
3663.414,2.527e+02,5.796e+00
3667.682,3.147e+02,6.104e+00
3671.951,3.026e+02,6.037e+00
3676.221,3.294e+02,6.187e+00
3680.490,3.333e+02,6.198e+00
3684.760,3.603e+02,6.379e+00
3689.031,3.627e+02,6.427e+00
3693.301,4.065e+02,6.582e+00
3697.572,4.398e+02,6.788e+00
3701.844,4.917e+02,7.010e+00
3706.115,5.098e+02,7.091e+00
3710.387,5.634e+02,7.350e+00
3714.660,5.744e+02,7.418e+00
3718.932,6.444e+02,7.714e+00
3723.205,6.871e+02,7.883e+00
3727.479,7.440e+02,8.131e+00
3731.752,7.920e+02,8.329e+00
3736.026,9.018e+02,8.747e+00
3740.301,9.159e+02,8.888e+00
3744.575,1.044e+03,9.277e+00
3748.850,1.092e+03,9.492e+00
3753.125,1.271e+03,1.008e+01
3757.401,1.357e+03,1.039e+01
3761.677,1.475e+03,1.075e+01
3765.953,1.609e+03,1.117e+01
3770.230,1.762e+03,1.160e+01
3774.507,1.879e+03,1.196e+01
3778.784,1.984e+03,1.224e+01
3783.061,2.063e+03,1.248e+01
3787.339,2.216e+03,1.284e+01
3791.617,2.591e+03,1.380e+01
3795.896,2.896e+03,1.451e+01
3800.175,3.149e+03,1.511e+01
3804.454,3.290e+03,1.542e+01
3808.733,3.362e+03,1.558e+01
3813.013,3.393e+03,1.561e+01
3817.293,3.553e+03,1.598e+01
3821.574,3.818e+03,1.652e+01
3825.854,4.151e+03,1.719e+01
3830.135,4.436e+03,1.772e+01
3834.417,4.753e+03,1.834e+01
3838.698,5.034e+03,1.880e+01
3842.980,5.097e+03,1.894e+01
3847.263,5.614e+03,1.981e+01
3851.545,6.129e+03,2.067e+01
3855.828,6.674e+03,2.152e+01
3860.112,7.339e+03,2.255e+01
3864.395,7.535e+03,2.280e+01
3868.679,7.802e+03,2.321e+01
3872.963,7.524e+03,2.282e+01
3877.248,7.489e+03,2.275e+01
3881.533,7.553e+03,2.286e+01
3885.818,7.692e+03,2.308e+01
3890.103,7.869e+03,2.332e+01
3894.389,8.125e+03,2.370e+01
3898.675,8.526e+03,2.425e+01
3902.962,9.421e+03,2.545e+01
3907.249,1.070e+04,2.708e+01
3911.536,1.216e+04,2.882e+01
3915.823,1.296e+04,2.973e+01
3920.111,1.397e+04,3.085e+01
3924.399,1.467e+04,3.158e+01
3928.687,1.520e+04,3.214e+01
3932.975,1.569e+04,3.265e+01
3937.264,1.614e+04,3.311e+01
3941.554,1.609e+04,3.305e+01
3945.843,1.564e+04,3.260e+01
3950.133,1.551e+04,3.245e+01
3954.423,1.448e+04,3.140e+01
3958.713,1.374e+04,3.059e+01
3963.004,1.317e+04,2.999e+01
3967.295,1.297e+04,2.975e+01
3971.587,1.281e+04,2.958e+01
3975.878,1.326e+04,3.008e+01
3980.170,1.463e+04,3.157e+01
3984.463,1.740e+04,3.436e+01
3988.755,2.114e+04,3.781e+01
3993.048,2.384e+04,4.012e+01
3997.341,2.573e+04,4.166e+01
4001.635,2.728e+04,4.289e+01
4005.929,2.822e+04,4.363e+01
4010.223,2.902e+04,4.423e+01
4014.517,2.952e+04,4.461e+01
4018.812,3.073e+04,4.550e+01
4023.107,3.131e+04,4.593e+01
4027.402,3.208e+04,4.648e+01
4031.698,3.294e+04,4.710e+01
4035.994,3.326e+04,4.731e+01
4040.290,3.374e+04,4.765e+01
4044.586,3.472e+04,4.834e+01
4048.883,3.502e+04,4.855e+01
