wave,inten,std
3420.660,9.760e-04,2.940e-02
3424.909,-2.453e-01,2.705e-02
3429.159,-1.795e-01,3.015e-02
3433.409,-3.362e-01,2.906e-02
3437.659,1.846e-01,3.150e-02
3441.909,-1.149e-01,2.941e-02
3446.160,-2.667e-01,2.920e-02
3450.411,-6.782e-01,2.362e-02
3454.663,-8.447e-02,2.857e-02
3458.915,-9.682e-02,2.937e-02
3463.167,1.740e-02,2.998e-02
3467.420,2.853e-02,3.038e-02
3471.673,-3.780e-02,3.001e-02
3475.926,-1.751e-01,2.973e-02
3480.180,-6.510e-02,3.017e-02
3484.434,-1.942e-02,3.017e-02
3488.688,1.863e-01,3.097e-02
3492.943,3.611e-02,2.973e-02
3497.198,-3.963e-01,2.765e-02
3501.454,9.759e-02,3.096e-02
3505.709,-2.787e-01,2.721e-02
3509.965,-4.281e-01,2.886e-02
3514.222,-1.226e-01,2.961e-02
3518.479,-8.353e-02,2.945e-02
3522.736,-3.370e-01,2.876e-02
3526.993,-1.281e-01,2.996e-02
3531.251,-3.784e-01,2.846e-02
3535.509,1.611e-01,3.063e-02
3539.768,-6.390e-02,2.916e-02
3544.027,2.871e-02,3.097e-02
3548.286,1.267e-01,3.130e-02
3552.546,-1.619e-01,2.974e-02
3556.806,3.987e-02,3.019e-02
3561.066,4.877e-02,2.993e-02
3565.326,-2.383e-01,3.053e-02
3569.587,-4.902e-01,2.763e-02
3573.849,1.930e-01,3.085e-02
3578.110,-4.006e-01,2.829e-02
3582.372,2.570e-01,3.157e-02
3586.635,1.627e-01,3.092e-02
3590.897,2.204e-01,3.172e-02
3595.160,-5.002e-01,2.841e-02
3599.423,-3.172e-02,3.124e-02
3603.687,-4.911e-01,2.803e-02
3607.951,1.724e-01,3.135e-02
3612.215,-1.898e-01,3.074e-02
3616.480,2.417e-01,3.242e-02
3620.745,1.177e-01,3.150e-02
3625.010,-5.053e-01,2.760e-02
3629.276,-1.012e-01,3.113e-02
3633.542,2.034e-01,3.168e-02
3637.809,3.551e-02,3.124e-02
3642.075,9.875e-03,3.130e-02
3646.342,-4.395e-01,2.901e-02
3650.610,4.312e-03,3.132e-02
3654.877,9.993e-02,3.193e-02
3659.145,-2.469e-01,3.094e-02
3663.414,-3.723e-01,3.050e-02
3667.682,-7.256e-02,3.097e-02
3671.951,-8.109e-01,2.636e-02
3676.221,-4.471e-01,3.036e-02
3680.490,-5.846e-01,2.906e-02
3684.760,-2.361e-04,3.057e-02
3689.031,-1.988e-01,2.980e-02
3693.301,-8.205e-02,3.117e-02
3697.572,2.340e-01,3.269e-02
3701.844,-9.970e-02,3.174e-02
3706.115,1.846e-04,3.126e-02
3710.387,3.634e-01,3.398e-02
3714.660,-1.494e-01,3.168e-02
3718.932,1.188e-02,3.217e-02
3723.205,-4.091e-02,3.144e-02
3727.479,-3.174e-01,3.073e-02
3731.752,1.093e-01,3.256e-02
3736.026,8.049e-02,3.235e-02
3740.301,-2.773e-01,3.089e-02
3744.575,1.130e-01,3.295e-02
3748.850,-5.633e-01,2.987e-02
3753.125,1.137e-01,3.383e-02
3757.401,3.113e-01,3.510e-02
3761.677,-2.585e-01,3.251e-02
3765.953,-3.221e-02,3.325e-02
3770.230,3.299e-01,3.537e-02
3774.507,2.895e-01,3.515e-02
3778.784,-2.316e-01,3.387e-02
3783.061,3.660e-01,3.600e-02
3787.339,2.778e-01,3.597e-02
3791.617,2.434e-01,3.569e-02
3795.896,-3.196e-01,3.475e-02
3800.175,-1.086e-01,3.425e-02
3804.454,3.933e-01,3.645e-02
3808.733,-1.029e-01,3.367e-02
3813.013,3.443e-01,3.656e-02
3817.293,2.264e-01,3.518e-02
3821.574,5.551e-01,3.691e-02
3825.854,-3.506e-01,3.379e-02
3830.135,6.031e-01,3.733e-02
3834.417,5.321e-01,3.782e-02
3838.698,3.775e-01,3.732e-02
3842.980,2.116e-01,3.666e-02
3847.263,1.279e-01,3.617e-02
3851.545,6.130e-01,3.789e-02
3855.828,2.275e-01,3.789e-02
3860.112,4.681e-01,3.886e-02
3864.395,8.372e-02,3.789e-02
3868.679,-4.816e-01,3.663e-02
3872.963,-2.054e-02,3.867e-02
3877.248,-1.747e-01,3.746e-02
3881.533,2.034e-01,4.078e-02
3885.818,2.508e-01,4.080e-02
3890.103,4.139e-01,4.156e-02
3894.389,4.891e-01,4.214e-02
3898.675,5.473e-01,4.406e-02
3902.962,6.840e-02,4.230e-02
3907.249,8.515e-01,4.560e-02
3911.536,4.548e-01,4.506e-02
3915.823,8.264e-01,4.559e-02
3920.111,-2.563e-02,4.406e-02
3924.399,8.023e-01,4.657e-02
3928.687,8.285e-01,4.656e-02
3932.975,8.686e-01,4.599e-02
3937.264,2.503e-01,4.426e-02
3941.554,5.318e-01,4.518e-02
3945.843,6.282e-01,4.596e-02
3950.133,6.877e-01,4.638e-02
3954.423,3.882e-01,4.634e-02
3958.713,7.604e-01,4.752e-02
3963.004,5.247e-01,4.657e-02
3967.295,9.025e-01,4.790e-02
3971.587,7.027e-01,4.828e-02
3975.878,6.418e-01,4.823e-02
3980.170,5.999e-01,4.940e-02
3984.463,7.261e-01,5.111e-02
3988.755,6.593e-01,5.173e-02
3993.048,1.274e+00,5.445e-02
3997.341,1.238e+00,5.675e-02
4001.635,1.734e+00,5.877e-02
4005.929,2.128e+00,6.115e-02
4010.223,1.716e+00,6.080e-02
4014.517,1.853e+00,6.196e-02
4018.812,2.067e+00,6.349e-02
4023.107,2.506e+00,6.540e-02
4027.402,1.971e+00,6.677e-02
4031.698,2.134e+00,6.813e-02
4035.994,2.335e+00,6.927e-02
4040.290,2.740e+00,7.078e-02
4044.586,2.800e+00,7.274e-02
4048.883,1.496e+00,7.100e-02
4053.180,2.342e+00,7.332e-02
4057.478,1.878e+00,7.080e-02
4061.775,2.732e+00,6.945e-02
4066.073,2.450e+00,6.813e-02
4070.372,2.641e+00,6.850e-02
4074.670,2.858e+00,6.907e-02
4078.969,2.391e+00,7.082e-02
4083.268,2.844e+00,7.139e-02
4087.568,2.555e+00,7.177e-02
4091.868,2.892e+00,7.236e-02
4096.168,3.428e+00,7.293e-02
4100.468,2.969e+00,7.177e-02
4104.769,4.024e+00,7.466e-02
4109.070,3.763e+00,7.428e-02
4113.371,2.746e+00,7.216e-02
4117.673,3.345e+00,7.369e-02
4121.975,3.038e+00,7.409e-02
4126.277,3.951e+00,7.658e-02
4130.579,3.081e+00,7.563e-02
4134.882,3.174e+00,7.640e-02
4139.185,3.377e+00,7.775e-02
4143.488,3.767e+00,7.908e-02
4147.792,2.790e+00,7.694e-02
4152.096,3.476e+00,7.831e-02
4156.400,3.449e+00,7.987e-02
4160.704,3.754e+00,8.082e-02
4165.009,3.894e+00,8.197e-02
4169.314,3.864e+00,8.275e-02
4173.620,3.778e+00,8.253e-02
4177.925,3.428e+00,8.254e-02
4182.231,3.819e+00,8.351e-02
4186.537,2.943e+00,8.139e-02
4190.844,4.028e+00,8.467e-02
4195.151,3.524e+00,8.600e-02
4199.458,3.809e+00,8.755e-02
4203.765,4.403e+00,9.006e-02
4208.073,4.036e+00,9.064e-02
4212.381,4.285e+00,9.218e-02
4216.689,4.404e+00,9.391e-02
4220.997,4.263e+00,9.525e-02
4225.306,4.538e+00,9.601e-02
4229.615,4.647e+00,9.796e-02
4233.925,4.411e+00,9.890e-02
4238.234,4.441e+00,1.004e-01
4242.544,5.195e+00,1.035e-01
4246.854,4.914e+00,1.043e-01
4251.165,4.718e+00,1.049e-01
4255.476,5.197e+00,1.064e-01
4259.787,5.561e+00,1.066e-01
4264.098,5.241e+00,1.080e-01
4268.409,5.616e+00,1.087e-01
4272.721,5.324e+00,1.107e-01
4277.034,5.735e+00,1.131e-01
4281.346,4.922e+00,1.133e-01
4285.659,5.779e+00,1.155e-01
4289.972,5.512e+00,1.166e-01
4294.285,5.865e+00,1.199e-01
4298.599,5.090e+00,1.195e-01
4302.912,3.493e+00,1.195e-01
4307.227,4.969e+00,1.224e-01
4311.541,4.781e+00,1.255e-01
4315.856,4.746e+00,1.287e-01
4320.171,4.966e+00,1.320e-01
4324.486,6.645e+00,1.355e-01
4328.801,6.501e+00,1.372e-01
4333.117,7.919e+00,1.420e-01
4337.433,7.040e+00,1.437e-01
4341.749,8.387e+00,1.495e-01
4346.066,7.661e+00,1.568e-01
4350.383,8.046e+00,1.659e-01
4354.700,9.386e+00,1.774e-01
4359.017,1.456e+01,1.873e-01
4363.335,9.772e+00,1.793e-01
4367.653,9.199e+00,1.707e-01
4371.971,8.635e+00,1.664e-01
4376.290,8.234e+00,1.678e-01
4380.609,9.301e+00,1.705e-01
4384.928,1.125e+01,1.741e-01
4389.247,9.760e+00,1.761e-01
4393.566,9.801e+00,1.779e-01
4397.886,8.571e+00,1.820e-01
4402.206,1.229e+01,1.880e-01
4406.527,2.063e+01,1.989e-01
4410.847,1.914e+01,2.028e-01
4415.168,1.763e+01,2.065e-01
4419.490,2.300e+01,2.136e-01
4423.811,1.638e+01,2.184e-01
4428.133,9.082e+00,2.218e-01
4432.455,1.096e+01,2.247e-01
4436.777,1.125e+01,2.278e-01
4441.100,1.401e+01,2.311e-01
4445.422,1.006e+01,2.311e-01
4449.745,1.169e+01,2.365e-01
4454.069,1.147e+01,2.375e-01
4458.392,1.209e+01,2.405e-01
4462.716,1.066e+01,2.423e-01
4467.040,1.439e+01,2.446e-01
4471.365,8.602e+00,2.450e-01
4475.689,1.225e+01,2.478e-01
4480.014,1.205e+01,2.486e-01
4484.339,1.290e+01,2.517e-01
4488.665,1.303e+01,2.523e-01
4492.990,1.481e+01,2.534e-01
4497.316,1.180e+01,2.523e-01
4501.643,1.409e+01,2.546e-01
4505.969,1.381e+01,2.536e-01
4510.296,1.594e+01,2.544e-01
4514.623,1.233e+01,2.508e-01
4518.950,1.437e+01,2.506e-01
4523.278,1.379e+01,2.484e-01
4527.605,1.562e+01,2.473e-01
4531.933,1.255e+01,2.432e-01
4536.262,1.284e+01,2.419e-01
4540.590,1.140e+01,2.390e-01
4544.919,1.677e+01,2.384e-01
4549.248,1.477e+01,2.346e-01
4553.577,1.528e+01,2.332e-01
4557.907,1.094e+01,2.279e-01
4562.237,1.466e+01,2.269e-01
4566.567,9.831e+00,2.242e-01
4570.897,1.629e+01,2.230e-01
4575.228,2.144e+01,2.244e-01
4579.558,3.099e+01,2.240e-01
4583.890,3.065e+01,2.171e-01
4588.221,2.703e+01,2.137e-01
4592.553,2.912e+01,2.105e-01
4596.884,2.841e+01,2.063e-01
4601.216,2.807e+01,2.051e-01
4605.549,3.223e+01,2.067e-01
4609.881,2.436e+01,2.007e-01
4614.214,2.263e+01,1.973e-01
4618.547,2.637e+01,1.972e-01
4622.881,2.344e+01,1.944e-01
4627.214,2.535e+01,1.939e-01
4631.548,2.505e+01,1.930e-01
4635.882,2.460e+01,1.918e-01
4640.217,2.334e+01,1.912e-01
4644.551,2.413e+01,1.895e-01
4648.886,2.136e+01,1.865e-01
4653.221,2.195e+01,1.852e-01
4657.556,2.069e+01,1.837e-01
4661.892,2.117e+01,1.833e-01
4666.228,1.727e+01,1.795e-01
4670.564,2.024e+01,1.804e-01
