wave,inten,std
3420.660,2.503e+03,1.359e+02
3424.909,1.688e+03,1.339e+02
3429.159,1.317e+03,1.344e+02
3433.409,1.335e+03,1.343e+02
3437.659,1.132e+03,1.342e+02
3441.909,1.591e+03,1.342e+02
3446.160,2.024e+03,1.349e+02
3450.411,1.820e+03,1.366e+02
3454.663,2.348e+03,1.354e+02
3458.915,2.086e+03,1.351e+02
3463.167,1.431e+03,1.349e+02
3467.420,2.066e+03,1.350e+02
3471.673,2.224e+03,1.353e+02
3475.926,1.443e+03,1.355e+02
3480.180,1.227e+03,1.342e+02
3484.434,1.027e+03,1.350e+02
3488.688,1.798e+03,1.356e+02
3492.943,1.611e+03,1.369e+02
3497.198,2.648e+03,1.365e+02
3501.454,2.326e+03,1.361e+02
3505.709,2.464e+03,1.369e+02
3509.965,1.859e+03,1.368e+02
3514.222,2.959e+03,1.387e+02
3518.479,1.837e+03,1.377e+02
3522.736,1.485e+03,1.381e+02
3526.993,2.285e+03,1.378e+02
3531.251,2.469e+03,1.380e+02
3535.509,1.016e+03,1.362e+02
3539.768,3.251e+03,1.385e+02
3544.027,2.122e+03,1.392e+02
3548.286,2.401e+03,1.377e+02
3552.546,2.474e+03,1.383e+02
3556.806,3.136e+03,1.391e+02
3561.066,3.224e+03,1.403e+02
3565.326,3.719e+03,1.411e+02
3569.587,2.944e+03,1.407e+02
3573.849,3.130e+03,1.413e+02
3578.110,2.810e+03,1.421e+02
3582.372,3.983e+03,1.420e+02
3586.635,2.503e+03,1.411e+02
3590.897,3.772e+03,1.425e+02
3595.160,4.096e+03,1.425e+02
3599.423,4.532e+03,1.434e+02
3603.687,3.789e+03,1.447e+02
3607.951,4.398e+03,1.451e+02
3612.215,3.530e+03,1.457e+02
3616.480,4.297e+03,1.453e+02
3620.745,4.216e+03,1.473e+02
3625.010,5.384e+03,1.473e+02
3629.276,5.173e+03,1.483e+02
3633.542,4.924e+03,1.501e+02
3637.809,5.804e+03,1.507e+02
3642.075,7.864e+03,1.532e+02
3646.342,5.787e+03,1.543e+02
3650.610,7.840e+03,1.558e+02
3654.877,7.052e+03,1.553e+02
3659.145,8.980e+03,1.577e+02
3663.414,9.200e+03,1.599e+02
3667.682,1.028e+04,1.628e+02
3671.951,9.797e+03,1.625e+02
3676.221,1.008e+04,1.653e+02
3680.490,1.041e+04,1.656e+02
3684.760,1.073e+04,1.686e+02
3689.031,1.183e+04,1.690e+02
3693.301,1.320e+04,1.722e+02
3697.572,1.292e+04,1.738e+02
3701.844,1.432e+04,1.755e+02
3706.115,1.435e+04,1.777e+02
3710.387,1.506e+04,1.783e+02
3714.660,1.574e+04,1.814e+02
3718.932,1.642e+04,1.830e+02
3723.205,1.604e+04,1.841e+02
3727.479,1.849e+04,1.872e+02
3731.752,1.812e+04,1.888e+02
3736.026,2.075e+04,1.929e+02
3740.301,2.008e+04,1.946e+02
3744.575,2.218e+04,1.958e+02
3748.850,2.313e+04,2.012e+02
3753.125,2.553e+04,2.043e+02
3757.401,2.646e+04,2.088e+02
3761.677,2.844e+04,2.141e+02
3765.953,3.159e+04,2.207e+02
3770.230,3.383e+04,2.258e+02
3774.507,3.419e+04,2.289e+02
3778.784,3.725e+04,2.325e+02
3783.061,3.828e+04,2.377e+02
3787.339,4.060e+04,2.427e+02
3791.617,4.293e+04,2.478e+02
3795.896,4.592e+04,2.522e+02
3800.175,4.666e+04,2.549e+02
3804.454,4.674e+04,2.532e+02
3808.733,4.678e+04,2.536e+02
3813.013,4.729e+04,2.547e+02
3817.293,4.801e+04,2.570e+02
3821.574,4.877e+04,2.594e+02
3825.854,4.996e+04,2.603e+02
3830.135,5.107e+04,2.627e+02
3834.417,5.137e+04,2.657e+02
3838.698,5.385e+04,2.690e+02
3842.980,5.612e+04,2.750e+02
3847.263,5.925e+04,2.790e+02
3851.545,6.356e+04,2.858e+02
3855.828,7.067e+04,2.971e+02
3860.112,7.485e+04,3.067e+02
3864.395,7.719e+04,3.110e+02
3868.679,8.190e+04,3.180e+02
3872.963,8.573e+04,3.228e+02
3877.248,9.007e+04,3.299e+02
3881.533,9.643e+04,3.385e+02
3885.818,9.998e+04,3.454e+02
3890.103,1.099e+05,3.568e+02
3894.389,1.141e+05,3.648e+02
3898.675,1.239e+05,3.771e+02
3902.962,1.298e+05,3.873e+02
3907.249,1.381e+05,3.966e+02
3911.536,1.413e+05,4.000e+02
3915.823,1.392e+05,3.979e+02
3920.111,1.357e+05,3.950e+02
3924.399,1.344e+05,3.918e+02
3928.687,1.324e+05,3.904e+02
3932.975,1.349e+05,3.918e+02
3937.264,1.334e+05,3.906e+02
3941.554,1.385e+05,3.969e+02
3945.843,1.433e+05,4.026e+02
3950.133,1.563e+05,4.194e+02
3954.423,1.723e+05,4.383e+02
3958.713,1.827e+05,4.488e+02
3963.004,1.871e+05,4.550e+02
3967.295,1.942e+05,4.623e+02
3971.587,2.001e+05,4.680e+02
3975.878,2.081e+05,4.773e+02
3980.170,2.277e+05,4.982e+02
3984.463,2.628e+05,5.327e+02
3988.755,3.056e+05,5.714e+02
3993.048,3.339e+05,5.950e+02
3997.341,3.572e+05,6.150e+02
4001.635,3.747e+05,6.285e+02
4005.929,3.887e+05,6.405e+02
4010.223,4.029e+05,6.514e+02
4014.517,4.175e+05,6.631e+02
4018.812,4.305e+05,6.726e+02
4023.107,4.421e+05,6.812e+02
4027.402,4.567e+05,6.917e+02
4031.698,4.644e+05,6.976e+02
4035.994,4.722e+05,7.027e+02
4040.290,4.753e+05,7.052e+02
4044.586,4.866e+05,7.131e+02
4048.883,4.947e+05,7.191e+02
4053.180,4.992e+05,7.216e+02
4057.478,5.066e+05,7.273e+02
4061.775,5.187e+05,7.351e+02
4066.073,5.243e+05,7.393e+02
4070.372,5.388e+05,7.489e+02
4074.670,5.558e+05,7.609e+02
4078.969,5.800e+05,7.760e+02
4083.268,5.975e+05,7.877e+02
4087.568,6.141e+05,7.983e+02
4091.868,6.244e+05,8.051e+02
4096.168,6.345e+05,8.099e+02
4100.468,6.416e+05,8.148e+02
4104.769,6.443e+05,8.176e+02
4109.070,6.529e+05,8.231e+02
4113.371,6.983e+05,8.491e+02
4117.673,7.702e+05,8.915e+02
4121.975,8.302e+05,9.236e+02
4126.277,8.502e+05,9.349e+02
4130.579,8.706e+05,9.458e+02
4134.882,8.922e+05,9.570e+02
4139.185,9.151e+05,9.690e+02
4143.488,9.506e+05,9.872e+02
4147.792,9.757e+05,1.000e+03
4152.096,9.941e+05,1.010e+03
4156.400,1.023e+06,1.024e+03
4160.704,1.056e+06,1.040e+03
4165.009,1.076e+06,1.049e+03
4169.314,1.085e+06,1.053e+03
4173.620,1.092e+06,1.056e+03
4177.925,1.071e+06,1.047e+03
4182.231,1.093e+06,1.057e+03
4186.537,1.103e+06,1.062e+03
4190.844,1.113e+06,1.066e+03
4195.151,1.147e+06,1.083e+03
4199.458,1.164e+06,1.091e+03
4203.765,1.170e+06,1.094e+03
4208.073,1.212e+06,1.112e+03
4212.381,1.245e+06,1.127e+03
4216.689,1.256e+06,1.132e+03
4220.997,1.252e+06,1.131e+03
4225.306,1.235e+06,1.123e+03
4229.615,1.230e+06,1.121e+03
4233.925,1.245e+06,1.127e+03
4238.234,1.282e+06,1.144e+03
4242.544,1.298e+06,1.151e+03
4246.854,1.321e+06,1.161e+03
4251.165,1.326e+06,1.163e+03
4255.476,1.330e+06,1.165e+03
4259.787,1.342e+06,1.170e+03
4264.098,1.363e+06,1.178e+03
4268.409,1.360e+06,1.177e+03
4272.721,1.353e+06,1.175e+03
4277.034,1.349e+06,1.172e+03
4281.346,1.362e+06,1.179e+03
4285.659,1.357e+06,1.176e+03
4289.972,1.340e+06,1.169e+03
4294.285,1.289e+06,1.146e+03
4298.599,1.226e+06,1.119e+03
4302.912,1.180e+06,1.098e+03
4307.227,1.201e+06,1.108e+03
4311.541,1.297e+06,1.150e+03
4315.856,1.435e+06,1.209e+03
4320.171,1.568e+06,1.263e+03
4324.486,1.624e+06,1.285e+03
4328.801,1.605e+06,1.278e+03
4333.117,1.611e+06,1.280e+03
4337.433,1.616e+06,1.281e+03
4341.749,1.595e+06,1.274e+03
4346.066,1.634e+06,1.289e+03
4350.383,1.700e+06,1.315e+03
4354.700,1.767e+06,1.340e+03
4359.017,1.824e+06,1.361e+03
4363.335,1.856e+06,1.373e+03
4367.653,1.856e+06,1.373e+03
4371.971,1.840e+06,1.367e+03
4376.290,1.807e+06,1.355e+03
4380.609,1.765e+06,1.339e+03
4384.928,1.754e+06,1.335e+03
4389.247,1.785e+06,1.346e+03
4393.566,1.831e+06,1.364e+03
4397.886,1.892e+06,1.385e+03
4402.206,1.920e+06,1.396e+03
4406.527,1.947e+06,1.405e+03
4410.847,1.990e+06,1.421e+03
4415.168,2.047e+06,1.441e+03
4419.490,2.096e+06,1.458e+03
4423.811,2.135e+06,1.471e+03
4428.133,2.138e+06,1.472e+03
4432.455,2.142e+06,1.473e+03
4436.777,2.153e+06,1.478e+03
4441.100,2.169e+06,1.483e+03
4445.422,2.173e+06,1.484e+03
4449.745,2.178e+06,1.486e+03
4454.069,2.152e+06,1.477e+03
4458.392,2.140e+06,1.473e+03
4462.716,2.169e+06,1.483e+03
4467.040,2.230e+06,1.503e+03
4471.365,2.312e+06,1.531e+03
4475.689,2.346e+06,1.541e+03
4480.014,2.353e+06,1.544e+03
4484.339,2.381e+06,1.553e+03
4488.665,2.417e+06,1.565e+03
4492.990,2.422e+06,1.566e+03
4497.316,2.475e+06,1.583e+03
4501.643,2.560e+06,1.610e+03
4505.969,2.589e+06,1.619e+03
4510.296,2.569e+06,1.612e+03
4514.623,2.552e+06,1.608e+03
4518.950,2.540e+06,1.603e+03
4523.278,2.510e+06,1.594e+03
4527.605,2.470e+06,1.581e+03
4531.933,2.444e+06,1.574e+03
