wave,inten,std
3420.660,nan,nan
3424.909,nan,nan
3429.159,nan,nan
3433.409,nan,nan
3437.659,nan,nan
3441.909,nan,nan
3446.160,nan,nan
3450.411,nan,nan
3454.663,nan,nan
3458.915,nan,nan
3463.167,nan,nan
3467.420,nan,nan
3471.673,nan,nan
3475.926,nan,nan
3480.180,nan,nan
3484.434,nan,nan
3488.688,nan,nan
3492.943,nan,nan
3497.198,nan,nan
3501.454,nan,nan
3505.709,nan,nan
3509.965,nan,nan
3514.222,nan,nan
3518.479,nan,nan
3522.736,nan,nan
3526.993,nan,nan
3531.251,nan,nan
3535.509,nan,nan
3539.768,nan,nan
3544.027,nan,nan
3548.286,nan,nan
3552.546,nan,nan
3556.806,nan,nan
3561.066,nan,nan
3565.326,4.114e+00,1.250e-01
3569.587,nan,nan
3573.849,3.684e+00,3.000e-02
3578.110,nan,nan
3582.372,nan,nan
3586.635,4.628e+00,2.050e-01
3590.897,nan,nan
3595.160,nan,nan
3599.423,4.062e+00,7.531e-02
3603.687,3.292e+00,1.350e-01
3607.951,nan,nan
3612.215,nan,nan
3616.480,5.231e+00,1.624e-01
3620.745,9.196e+00,1.436e-01
3625.010,4.869e+00,1.017e-01
3629.276,5.145e+00,1.607e-01
3633.542,7.984e+00,6.724e-02
3637.809,5.559e+00,1.954e-02
3642.075,5.857e+00,9.049e-02
3646.342,4.672e+00,1.040e-01
3650.610,7.341e+00,9.611e-02
3654.877,5.961e+00,1.222e-01
3659.145,8.034e+00,2.078e-01
3663.414,2.903e+00,9.427e-02
3667.682,9.092e+00,1.621e-01
3671.951,3.818e+00,1.234e-01
3676.221,6.771e+00,1.670e-01
3680.490,9.055e+00,1.739e-01
3684.760,1.251e+01,2.208e-01
3689.031,5.163e+00,1.106e-01
3693.301,1.191e+01,2.596e-01
3697.572,1.353e+01,2.342e-01
3701.844,9.917e+00,2.382e-01
3706.115,9.706e+00,2.146e-01
3710.387,1.160e+01,2.161e-01
3714.660,1.190e+01,2.432e-01
3718.932,1.025e+01,2.409e-01
3723.205,1.328e+01,2.658e-01
3727.479,1.580e+01,2.656e-01
3731.752,1.542e+01,2.968e-01
3736.026,1.720e+01,2.984e-01
