wave,inten,std
3420.660,1.252e+02,1.419e+01
3424.909,8.602e+01,1.416e+01
3429.159,1.577e+02,1.434e+01
3433.409,2.209e+01,1.395e+01
3437.659,9.239e+01,1.423e+01
3441.909,5.052e+01,1.418e+01
3446.160,1.024e+02,1.419e+01
3450.411,3.681e+01,1.408e+01
3454.663,5.825e+01,1.429e+01
3458.915,8.830e+01,1.404e+01
3463.167,1.281e+02,1.433e+01
3467.420,8.681e+01,1.413e+01
3471.673,6.998e+01,1.436e+01
3475.926,6.438e+01,1.433e+01
3480.180,9.873e+01,1.436e+01
3484.434,1.157e+02,1.450e+01
3488.688,9.775e+01,1.456e+01
3492.943,8.642e+01,1.398e+01
3497.198,1.920e+01,1.416e+01
3501.454,-1.151e+01,1.398e+01
3505.709,4.064e+01,1.428e+01
3509.965,9.216e+01,1.421e+01
3514.222,1.545e+02,1.471e+01
3518.479,7.307e+01,1.441e+01
3522.736,1.059e+02,1.458e+01
3526.993,6.075e+01,1.421e+01
3531.251,8.182e+01,1.428e+01
3535.509,3.731e+01,1.437e+01
3539.768,1.281e+02,1.452e+01
3544.027,1.050e+02,1.448e+01
3548.286,2.929e+01,1.416e+01
3552.546,8.375e+01,1.436e+01
3556.806,1.421e+00,1.412e+01
3561.066,6.466e+01,1.446e+01
3565.326,8.328e+01,1.454e+01
3569.587,1.044e+02,1.445e+01
3573.849,9.470e+01,1.435e+01
3578.110,8.645e+01,1.434e+01
3582.372,1.128e+02,1.447e+01
3586.635,1.664e+02,1.463e+01
3590.897,8.513e+01,1.443e+01
3595.160,1.338e+02,1.464e+01
3599.423,8.165e+01,1.458e+01
3603.687,1.247e+02,1.460e+01
3607.951,1.218e+02,1.479e+01
3612.215,1.049e+02,1.464e+01
3616.480,1.434e+02,1.495e+01
3620.745,1.481e+02,1.488e+01
3625.010,9.471e+01,1.485e+01
3629.276,1.708e+02,1.485e+01
3633.542,1.592e+02,1.487e+01
3637.809,1.433e+02,1.503e+01
3642.075,1.525e+02,1.503e+01
3646.342,1.115e+02,1.492e+01
3650.610,1.770e+02,1.510e+01
3654.877,2.125e+02,1.516e+01
3659.145,2.031e+02,1.505e+01
3663.414,2.381e+02,1.544e+01
3667.682,2.377e+02,1.542e+01
3671.951,2.386e+02,1.545e+01
3676.221,2.937e+02,1.566e+01
3680.490,2.135e+02,1.544e+01
3684.760,2.959e+02,1.590e+01
3689.031,2.352e+02,1.561e+01
