wave,inten,std
3420.660,4.612e-01,8.010e-02
3424.909,-4.669e-01,4.527e-02
3429.159,5.314e-01,7.097e-02
3433.409,1.074e+00,1.176e-01
3437.659,8.401e-01,7.312e-02
3441.909,4.646e-01,8.473e-02
3446.160,5.290e-01,1.360e-01
3450.411,5.975e-01,7.360e-02
3454.663,5.092e-01,6.500e-02
3458.915,7.516e-01,9.172e-02
3463.167,6.106e-01,1.283e-01
3467.420,1.227e+00,1.078e-01
3471.673,nan,nan
3475.926,1.332e-01,6.492e-02
3480.180,1.975e+00,2.020e-01
3484.434,9.303e-01,9.328e-02
3488.688,-1.614e+00,1.340e-01
3492.943,7.054e-01,9.543e-02
3497.198,2.985e-01,5.664e-02
3501.454,2.820e+00,1.128e-01
3505.709,9.579e-02,4.770e-02
3509.965,2.179e+00,9.732e-02
3514.222,-9.335e-02,5.512e-02
3518.479,8.466e-01,8.678e-02
3522.736,2.980e+00,1.367e-01
3526.993,5.460e-01,4.811e-02
3531.251,-1.468e+00,1.180e-01
3535.509,2.487e+00,1.198e-01
3539.768,6.249e-01,7.123e-02
3544.027,nan,nan
3548.286,-7.104e-01,7.216e-02
3552.546,4.474e-01,4.072e-02
3556.806,9.546e-02,9.558e-02
3561.066,3.479e+00,1.180e-01
3565.326,-8.029e-01,5.988e-02
3569.587,nan,nan
3573.849,7.808e-01,8.546e-02
3578.110,1.264e+00,1.067e-01
3582.372,-1.489e-01,4.333e-02
3586.635,9.350e-01,1.100e-01
3590.897,7.914e-01,1.196e-01
3595.160,9.524e-01,9.684e-02
3599.423,8.451e-01,1.050e-01
3603.687,-2.721e-01,4.233e-02
3607.951,1.909e+00,1.056e-01
3612.215,-6.113e-02,9.943e-02
3616.480,9.123e-01,8.572e-02
3620.745,7.033e-01,1.067e-01
3625.010,-1.350e-01,4.400e-02
3629.276,1.402e+00,1.122e-01
3633.542,8.991e-01,9.622e-02
3637.809,5.844e-01,8.172e-02
3642.075,2.875e-01,9.431e-02
3646.342,1.497e+00,1.068e-01
3650.610,4.096e-01,1.052e-01
3654.877,9.234e-01,1.094e-01
3659.145,5.717e-01,1.111e-01
3663.414,1.350e+00,1.099e-01
3667.682,5.649e-01,1.054e-01
3671.951,2.366e+00,1.334e-01
3676.221,8.445e-01,1.091e-01
3680.490,2.542e+00,1.430e-01
3684.760,1.366e+00,1.145e-01
3689.031,1.925e+00,1.506e-01
3693.301,-1.692e+00,2.945e-02
3697.572,1.876e+00,1.410e-01
3701.844,1.596e+00,1.149e-01
3706.115,3.780e+00,1.398e-01
3710.387,1.840e+00,1.113e-01
3714.660,1.946e+00,1.417e-01
3718.932,2.466e+00,1.308e-01
3723.205,1.750e+00,1.255e-01
3727.479,4.135e+00,1.506e-01
3731.752,2.841e+00,1.711e-01
3736.026,3.042e+00,1.562e-01
3740.301,9.120e-01,1.279e-01
3744.575,1.526e+00,1.407e-01
