wave,inten,std
3420.660,123.901,31.607
3424.909,30.299,29.485
3429.159,74.101,30.721
3433.409,92.476,30.821
3437.659,85.263,30.458
3441.909,2.517,30.120
3446.160,29.272,30.106
3450.411,57.520,30.408
3454.663,17.109,29.798
3458.915,40.463,30.314
3463.167,32.094,30.263
3467.420,48.773,30.588
3471.673,16.532,29.559
3475.926,32.117,29.523
3480.180,44.495,30.520
3484.434,101.899,30.609
3488.688,108.957,31.606
3492.943,101.431,30.768
3497.198,124.781,31.574
3501.454,122.802,31.251
3505.709,182.800,32.579
3509.965,140.583,31.677
3514.222,171.008,32.314
3518.479,119.655,32.060
3522.736,119.521,31.575
3526.993,151.556,32.001
3531.251,132.583,31.614
3535.509,78.723,30.996
3539.768,89.871,31.577
3544.027,118.765,32.185
3548.286,133.517,31.553
3552.546,207.557,33.247
3556.806,159.018,32.036
3561.066,176.415,32.465
3565.326,223.682,33.687
3569.587,122.402,31.764
3573.849,161.288,32.739
3578.110,230.600,33.511
3582.372,133.838,32.826
3586.635,271.417,33.277
3590.897,276.175,33.181
3595.160,240.920,33.075
3599.423,333.335,34.758
3603.687,298.520,34.406
3607.951,351.698,35.624
3612.215,339.971,35.433
3616.480,388.206,35.817
3620.745,521.718,37.177
3625.010,517.818,37.962
3629.276,512.740,37.330
3633.542,473.707,37.497
3637.809,514.039,37.428
3642.075,635.631,38.962
3646.342,445.714,37.121
3650.610,750.796,40.975
3654.877,692.753,39.832
3659.145,894.805,41.799
3663.414,857.499,41.419
3667.682,877.979,42.347
3671.951,956.548,43.119
3676.221,1063.022,44.481
3680.490,1078.532,44.445
3684.760,1172.921,45.772
3689.031,1355.153,47.680
3693.301,1473.439,48.433
3697.572,1467.755,48.482
3701.844,1698.286,50.656
3706.115,1620.782,49.983
3710.387,1898.785,52.357
3714.660,1916.597,53.158
3718.932,2111.972,54.685
3723.205,2227.045,55.840
3727.479,2583.511,58.835
3731.752,2610.183,59.305
3736.026,2989.003,61.799
3740.301,3291.286,64.356
3744.575,3566.656,66.164
3748.850,3602.885,66.814
3753.125,4142.054,71.000
3757.401,4440.247,73.058
3761.677,4894.999,76.164
3765.953,5284.501,78.921
3770.230,5766.186,81.791
3774.507,6199.112,84.426
3778.784,6356.203,85.319
3783.061,7031.798,88.973
3787.339,7230.467,90.265
3791.617,8152.753,95.399
3795.896,8902.631,99.208
3800.175,10003.567,104.767
3804.454,10516.028,107.003
3808.733,10660.789,107.866
3813.013,10792.102,108.418
3817.293,11515.218,111.512
3821.574,12287.388,114.909
3825.854,13019.125,118.152
3830.135,13816.727,121.671
3834.417,14511.483,124.429
3838.698,15127.684,126.829
3842.980,15641.764,129.005
3847.263,16871.347,133.762
3851.545,18088.463,138.004
3855.828,20074.938,145.041
3860.112,21579.029,150.187
3864.395,22538.412,153.455
3868.679,22702.891,153.773
3872.963,22720.601,154.050
3877.248,22077.748,151.846
3881.533,22349.721,152.721
3885.818,22977.795,154.913
3890.103,23569.160,156.964
3894.389,23723.433,157.096
3898.675,25174.163,161.977
3902.962,27682.369,169.447
3907.249,30505.047,177.501
3911.536,33691.484,186.436
3915.823,35731.665,191.833
3920.111,37700.561,196.879
3924.399,39033.034,200.251
3928.687,40947.880,204.973
3932.975,41572.921,206.389
3937.264,42778.752,209.349
3941.554,41920.080,207.315
3945.843,42440.396,208.616
3950.133,42095.251,207.795
3954.423,41036.999,205.150
3958.713,38950.977,199.824
3963.004,38149.042,198.007
3967.295,37230.850,195.431
3971.587,37228.653,195.563
3975.878,37977.997,197.538
3980.170,40846.034,204.664
3984.463,46974.455,219.195
3988.755,54299.964,235.358
3993.048,65785.104,258.666
3997.341,68347.366,263.464
4001.635,71986.589,270.394
4005.929,73299.024,272.729
4010.223,74909.348,275.701
4014.517,76529.910,278.587
4018.812,79838.128,284.482
4023.107,78325.267,281.851
4027.402,81241.060,287.096
4031.698,83279.379,290.456
4035.994,83919.683,291.694
4040.290,85951.248,295.042
4044.586,90825.519,303.353
4048.883,90090.804,302.093
4053.180,90818.279,303.321
4057.478,93804.156,308.235
4061.775,96284.945,312.059
4066.073,94971.090,309.991
4070.372,97445.471,313.959
4074.670,95729.249,311.236
4078.969,94659.904,309.516
4083.268,92051.739,305.311
4087.568,86991.123,296.905
4091.868,79132.460,283.417
4096.168,74777.399,275.462
4100.468,71647.688,269.901
4104.769,70782.027,268.264
4109.070,76599.290,278.931
4113.371,86750.101,296.515
4117.673,96492.862,312.428
4121.975,105138.682,326.006
4126.277,107531.029,329.822
4130.579,112513.328,337.118
4134.882,113253.392,338.290
4139.185,114404.426,339.921
4143.488,115866.346,342.092
4147.792,118523.294,345.906
4152.096,119331.184,346.970
4156.400,122191.003,351.290
4160.704,121143.212,349.779
4165.009,123786.965,353.535
4169.314,123752.595,353.535
4173.620,124357.929,354.319
4177.925,124683.716,354.732
4182.231,127679.390,358.866
4186.537,128357.436,359.974
4190.844,128375.930,360.071
4195.151,130268.837,362.600
4199.458,130732.177,363.150
4203.765,130617.302,363.114
4208.073,133549.808,367.012
4212.381,131891.640,364.783
4216.689,134761.418,368.638
4220.997,134627.858,368.614
4225.306,136074.253,370.562
4229.615,136356.825,370.846
4233.925,137121.419,371.884
4238.234,138131.773,373.287
4242.544,139668.079,375.285
4246.854,140826.320,376.894
4251.165,141819.068,378.171
4255.476,141974.727,378.474
4259.787,143487.344,380.458
4264.098,142990.916,379.810
4268.409,144480.111,381.742
4272.721,145810.683,383.382
4277.034,146356.550,384.257
4281.346,146877.742,385.002
4285.659,148564.381,387.125
4289.972,146512.587,384.392
4294.285,149729.581,388.504
4298.599,148627.061,387.110
4302.912,148684.041,387.253
4307.227,148349.387,386.801
4311.541,147709.101,385.981
4315.856,147299.947,385.435
4320.171,142950.747,379.812
4324.486,134312.805,368.310
4328.801,122417.517,351.749
4333.117,111482.422,335.813
4337.433,100487.287,318.981
4341.749,99937.649,318.155
4346.066,110781.731,334.633
4350.383,128153.113,359.679
4354.700,140320.839,376.217
4359.017,150308.518,389.415
4363.335,154380.541,394.561
4367.653,155987.955,396.562
4371.971,160008.290,401.584
4376.290,158876.062,400.135
4380.609,160557.552,402.159
4384.928,159529.665,401.015
4389.247,158319.687,399.524
4393.566,161557.781,403.652
4397.886,163199.579,405.673
4402.206,164069.345,406.766
4406.527,164542.957,407.261
4410.847,164123.787,406.725
4415.168,165217.210,407.987
4419.490,167379.409,410.685
4423.811,166281.659,409.317
4428.133,164675.032,407.400
4432.455,164922.716,407.757
4436.777,166024.479,409.171
4441.100,165232.127,408.105
4445.422,166470.948,409.726
4449.745,166005.979,409.010
4454.069,165146.222,408.170
4458.392,166387.324,409.480
4462.716,165160.419,408.128
4467.040,164238.870,406.987
4471.365,164650.369,407.449
4475.689,163448.003,406.076
4480.014,163234.937,405.714
4484.339,166139.348,409.256
4488.665,166951.262,410.299
4492.990,166099.862,409.334
4497.316,169140.571,412.939
4501.643,169506.287,413.465
4505.969,167663.576,411.220
4510.296,169148.106,412.905
4514.623,169701.052,413.760
4518.950,170387.290,414.454
4523.278,170496.155,414.613
4527.605,169850.812,413.819
4531.933,172436.074,417.001
4536.262,170715.188,414.831
4540.590,167834.177,411.443
4544.919,170334.806,414.260
4549.248,173550.337,418.245
4553.577,174728.092,419.662
