wave,inten,std
3420.660,0.155,0.053
3424.909,0.192,0.056
3429.159,0.006,0.055
3433.409,-0.491,0.050
3437.659,-0.117,0.052
3441.909,-0.415,0.050
3446.160,-0.183,0.053
3450.411,-0.320,0.052
3454.663,0.550,0.056
3458.915,0.200,0.054
3463.167,-0.048,0.054
3467.420,-0.019,0.054
3471.673,-0.167,0.053
3475.926,0.155,0.055
3480.180,0.011,0.054
3484.434,-0.375,0.053
3488.688,0.118,0.055
3492.943,0.142,0.055
3497.198,0.105,0.054
3501.454,0.490,0.059
3505.709,-0.206,0.051
3509.965,-0.373,0.051
3514.222,-0.234,0.051
3518.479,0.206,0.055
3522.736,-0.709,0.050
3526.993,0.386,0.058
3531.251,-0.337,0.049
3535.509,0.259,0.056
3539.768,0.196,0.056
3544.027,-0.057,0.055
3548.286,0.313,0.057
3552.546,-0.048,0.055
3556.806,0.066,0.054
3561.066,0.305,0.057
3565.326,-0.454,0.056
3569.587,-0.649,0.051
3573.849,0.257,0.057
3578.110,-0.476,0.050
3582.372,0.647,0.060
3586.635,-0.034,0.056
3590.897,0.199,0.057
3595.160,-0.696,0.049
3599.423,0.058,0.058
3603.687,-0.524,0.053
3607.951,0.019,0.055
3612.215,-0.165,0.056
3616.480,0.760,0.060
3620.745,0.107,0.056
3625.010,-0.503,0.051
3629.276,-0.131,0.056
3633.542,0.061,0.056
3637.809,0.071,0.058
3642.075,0.103,0.057
3646.342,-0.778,0.051
3650.610,-0.122,0.056
3654.877,-0.019,0.056
3659.145,-0.335,0.056
3663.414,-0.204,0.056
3667.682,-0.483,0.053
3671.951,-0.559,0.055
3676.221,-0.321,0.055
3680.490,-0.922,0.050
3684.760,0.160,0.058
3689.031,-0.384,0.054
3693.301,-0.134,0.055
3697.572,0.159,0.058
3701.844,-0.255,0.055
3706.115,-0.057,0.058
3710.387,0.455,0.062
3714.660,-0.092,0.058
3718.932,0.458,0.060
3723.205,0.546,0.063
3727.479,0.000,0.059
3731.752,0.655,0.064
3736.026,0.350,0.061
3740.301,-0.245,0.057
3744.575,0.069,0.059
3748.850,-0.937,0.053
3753.125,-0.037,0.061
3757.401,0.736,0.065
3761.677,-0.532,0.057
3765.953,-0.325,0.057
3770.230,0.211,0.062
3774.507,0.399,0.064
3778.784,-0.293,0.059
3783.061,0.764,0.068
3787.339,0.194,0.064
3791.617,0.507,0.066
3795.896,-0.528,0.062
3800.175,-0.354,0.059
3804.454,0.233,0.063
3808.733,-0.056,0.059
3813.013,0.672,0.064
3817.293,0.372,0.063
3821.574,0.810,0.066
3825.854,-0.196,0.062
3830.135,0.458,0.065
3834.417,0.681,0.067
3838.698,0.303,0.066
3842.980,0.339,0.066
3847.263,0.036,0.064
3851.545,0.283,0.064
3855.828,0.181,0.066
3860.112,0.374,0.068
3864.395,0.101,0.067
3868.679,-0.638,0.061
3872.963,0.045,0.068
3877.248,-0.119,0.067
3881.533,-0.044,0.071
3885.818,0.052,0.070
3890.103,0.139,0.071
3894.389,0.343,0.072
3898.675,0.835,0.077
3902.962,0.369,0.076
3907.249,0.396,0.078
3911.536,0.670,0.081
3915.823,1.097,0.081
3920.111,-0.523,0.075
3924.399,0.631,0.081
3928.687,0.699,0.080
3932.975,1.015,0.081
3937.264,0.054,0.076
3941.554,0.642,0.081
3945.843,0.687,0.082
3950.133,0.192,0.081
3954.423,0.390,0.083
3958.713,0.664,0.084
3963.004,0.320,0.081
3967.295,1.083,0.085
3971.587,0.852,0.086
3975.878,0.750,0.086
3980.170,0.091,0.083
3984.463,0.977,0.092
3988.755,0.954,0.092
3993.048,1.310,0.096
3997.341,1.426,0.099
4001.635,1.332,0.101
4005.929,2.198,0.109
4010.223,1.782,0.107
4014.517,1.984,0.108
4018.812,2.042,0.112
4023.107,2.782,0.116
4027.402,1.674,0.116
4031.698,2.030,0.118
4035.994,2.282,0.121
4040.290,3.398,0.126
4044.586,2.423,0.125
4048.883,1.944,0.125
4053.180,2.203,0.127
4057.478,1.562,0.121
4061.775,3.547,0.122
4066.073,2.548,0.118
4070.372,3.309,0.119
4074.670,2.602,0.118
4078.969,2.514,0.122
4083.268,2.545,0.122
4087.568,2.842,0.124
4091.868,2.663,0.124
4096.168,3.039,0.125
4100.468,2.608,0.123
4104.769,3.760,0.129
4109.070,3.697,0.129
4113.371,2.880,0.124
4117.673,3.333,0.127
4121.975,3.079,0.128
4126.277,3.229,0.131
4130.579,3.209,0.132
4134.882,3.291,0.133
4139.185,3.398,0.134
4143.488,3.898,0.136
4147.792,2.337,0.131
4152.096,3.016,0.134
4156.400,3.626,0.138
4160.704,3.186,0.139
4165.009,3.560,0.140
4169.314,3.922,0.143
4173.620,3.429,0.140
4177.925,2.781,0.141
4182.231,3.898,0.143
4186.537,2.750,0.139
4190.844,3.750,0.145
4195.151,2.983,0.146
4199.458,3.219,0.151
4203.765,4.949,0.157
4208.073,4.152,0.158
4212.381,4.733,0.160
4216.689,4.227,0.163
4220.997,3.906,0.165
4225.306,4.107,0.165
4229.615,4.445,0.169
4233.925,3.837,0.169
4238.234,4.596,0.175
4242.544,5.630,0.180
4246.854,4.348,0.179
4251.165,4.940,0.181
4255.476,5.324,0.185
4259.787,5.998,0.184
4264.098,5.303,0.187
4268.409,6.431,0.190
4272.721,5.023,0.191
4277.034,6.607,0.197
4281.346,4.542,0.195
4285.659,6.082,0.200
4289.972,5.497,0.201
4294.285,5.694,0.206
4298.599,4.460,0.206
4302.912,3.404,0.207
4307.227,5.145,0.214
4311.541,4.756,0.218
4315.856,4.872,0.224
4320.171,4.537,0.229
4324.486,6.171,0.235
4328.801,5.827,0.237
4333.117,8.699,0.247
4337.433,5.757,0.248
4341.749,7.591,0.259
4346.066,6.774,0.271
4350.383,7.965,0.289
4354.700,10.201,0.309
4359.017,14.342,0.326
4363.335,8.970,0.310
4367.653,8.589,0.296
4371.971,8.078,0.289
4376.290,7.707,0.293
4380.609,9.155,0.296
4384.928,11.129,0.302
4389.247,9.827,0.306
4393.566,9.998,0.308
4397.886,8.071,0.314
4402.206,12.565,0.324
4406.527,21.310,0.347
4410.847,17.660,0.349
4415.168,17.671,0.357
4419.490,21.023,0.369
4423.811,17.076,0.381
4428.133,8.563,0.383
4432.455,9.217,0.390
4436.777,12.314,0.397
4441.100,13.437,0.399
4445.422,10.707,0.402
4449.745,11.292,0.410
4454.069,12.212,0.413
4458.392,11.522,0.417
4462.716,8.100,0.418
4467.040,15.660,0.425
4471.365,9.272,0.426
4475.689,12.553,0.431
4480.014,10.839,0.431
4484.339,13.196,0.437
4488.665,14.132,0.439
4492.990,14.613,0.440
4497.316,10.003,0.437
4501.643,12.993,0.441
4505.969,12.379,0.438
4510.296,16.466,0.442
4514.623,12.786,0.437
4518.950,14.264,0.437
4523.278,13.676,0.434
4527.605,15.915,0.432
4531.933,13.002,0.425
4536.262,12.312,0.423
4540.590,13.026,0.418
4544.919,17.211,0.417
4549.248,14.530,0.404
4553.577,14.459,0.401
4557.907,10.812,0.392
4562.237,16.460,0.393
4566.567,7.843,0.384
4570.897,15.592,0.384
4575.228,22.838,0.386
4579.558,31.638,0.382
4583.890,28.012,0.373
4588.221,23.469,0.364
4592.553,28.552,0.359
4596.884,26.252,0.353
4601.216,25.207,0.351
4605.549,29.941,0.353
4609.881,25.538,0.346
4614.214,24.567,0.341
4618.547,25.297,0.339
4622.881,22.642,0.334
4627.214,22.524,0.330
4631.548,24.940,0.332
4635.882,22.302,0.328
4640.217,20.863,0.326
4644.551,22.655,0.323
4648.886,18.045,0.315
4653.221,20.340,0.315
4657.556,21.310,0.317
4661.892,18.961,0.312
4666.228,16.599,0.306
4670.564,18.568,0.307
4674.900,15.625,0.299
4679.237,17.110,0.297
4683.574,16.092,0.295
4687.911,18.245,0.297
4692.248,13.963,0.289
4696.586,15.913,0.289
4700.923,15.994,0.289
4705.261,16.612,0.290
4709.600,15.555,0.285
4713.938,15.757,0.283
4718.277,16.298,0.285
4722.616,17.551,0.288
4726.955,16.342,0.290
4731.295,19.450,0.294
4735.634,17.183,0.292
4739.974,15.432,0.287
4744.315,18.857,0.288
4748.655,17.478,0.280
4752.996,17.281,0.275
4757.337,18.517,0.274
4761.678,18.737,0.275
4766.019,18.626,0.274
4770.361,15.833,0.269
4774.703,18.661,0.275
4779.045,17.577,0.271
4783.387,20.253,0.277
4787.730,20.660,0.276
4792.073,17.800,0.269
4796.416,18.671,0.271
4800.759,22.093,0.277
4805.102,19.934,0.275
4809.446,23.638,0.284
4813.790,19.590,0.276
4818.134,18.641,0.275
4822.479,18.398,0.276
4826.823,20.586,0.280
4831.168,19.526,0.280
4835.514,18.145,0.277
4839.859,19.028,0.277
4844.205,18.662,0.275
4848.550,19.484,0.277
4852.896,19.152,0.275
4857.243,21.383,0.281
4861.589,20.830,0.278
4865.936,16.174,0.272
4870.283,17.754,0.274
4874.630,15.413,0.271
4878.978,16.962,0.273
4883.325,19.659,0.280
4887.673,18.236,0.276
4892.021,19.774,0.280
4896.370,18.964,0.278
4900.718,19.216,0.283
4905.067,21.441,0.287
4909.416,22.027,0.290
4913.765,19.823,0.285
4918.115,23.756,0.293
4922.465,21.752,0.291
4926.815,20.724,0.289
4931.165,25.190,0.296
4935.515,22.523,0.293
4939.866,21.374,0.292
4944.217,23.859,0.300
4948.568,22.827,0.298
4952.919,25.249,0.303
4957.270,27.398,0.308
4961.622,30.466,0.315
4965.974,28.429,0.314
4970.326,28.186,0.316
4974.678,28.254,0.321
4979.031,29.565,0.323
4983.384,28.337,0.322
4987.737,30.364,0.324
4992.090,27.952,0.318
4996.444,26.379,0.315
5000.797,28.397,0.322
5005.151,26.722,0.320
5009.505,29.099,0.326
5013.860,33.810,0.335
5018.214,28.737,0.329
5022.569,30.866,0.330
5026.924,29.741,0.328
5031.279,31.262,0.333
5035.635,32.020,0.335
5039.990,32.731,0.338
5044.346,33.606,0.341
5048.702,34.409,0.343
5053.058,32.387,0.343
5057.415,34.471,0.350
5061.772,34.660,0.353
5066.128,38.342,0.361
5070.486,37.864,0.366
5074.843,39.598,0.371
5079.200,42.400,0.381
5083.558,41.105,0.381
5087.916,40.013,0.371
5092.274,38.768,0.367
5096.633,36.116,0.362
5100.991,38.248,0.366
5105.350,37.108,0.362
5109.709,37.883,0.363
5114.068,39.208,0.364
5118.428,40.951,0.367
5122.787,39.732,0.366
5127.147,37.542,0.363
5131.507,37.065,0.361
5135.867,35.205,0.359
5140.228,39.750,0.368
5144.589,38.103,0.368
5148.949,38.800,0.367
5153.310,40.604,0.372
5157.672,35.676,0.365
5162.033,36.934,0.364
5166.395,40.973,0.367
5170.757,39.534,0.367
5175.119,37.994,0.363
5179.481,33.744,0.358
5183.844,36.896,0.361
5188.206,36.713,0.364
5192.569,36.528,0.365
5196.932,41.692,0.377
5201.296,42.606,0.379
5205.659,47.679,0.386
5210.023,43.617,0.383
5214.387,43.560,0.382
5218.751,47.163,0.385
5223.115,48.303,0.388
5227.480,48.852,0.387
5231.844,47.296,0.388
5236.209,42.354,0.385
5240.574,48.694,0.389
5244.939,46.673,0.390
5249.305,50.132,0.391
5253.671,51.809,0.396
5258.037,51.200,0.394
5262.403,47.369,0.390
5266.769,49.045,0.390
5271.135,41.564,0.373
5275.502,47.084,0.383
5279.869,44.184,0.379
5284.236,46.934,0.383
5288.603,49.044,0.390
5292.970,50.102,0.395
5297.338,53.168,0.395
5301.706,54.502,0.398
5306.074,50.632,0.392
5310.442,53.938,0.395
5314.810,54.032,0.396
5319.179,54.411,0.397
5323.548,52.862,0.396
5327.917,54.089,0.398
5332.286,55.724,0.400
5336.655,52.538,0.405
5341.025,42.838,0.405
5345.394,41.053,0.413
5349.764,38.641,0.412
5354.134,43.313,0.416
5358.505,42.426,0.409
5362.875,48.769,0.410
5367.246,54.350,0.408
5371.616,53.022,0.406
5375.988,53.354,0.407
5380.359,55.110,0.407
5384.730,56.405,0.409
5389.102,50.805,0.406
5393.473,56.977,0.407
5397.845,52.924,0.408
