wave,flux,error
3420.660,4.644e-07,4.515e-08
3424.909,1.015e-07,2.081e-08
3429.159,2.645e-08,1.117e-08
3433.409,4.207e-08,6.907e-09
3437.659,4.028e-08,5.007e-09
3441.909,3.528e-08,4.208e-09
3446.160,2.868e-08,3.946e-09
3450.411,8.925e-09,3.808e-09
3454.663,1.342e-08,3.650e-09
3458.915,2.679e-08,3.560e-09
3463.167,1.982e-08,3.294e-09
3467.420,2.608e-09,3.006e-09
3471.673,1.095e-08,2.631e-09
3475.926,2.063e-09,2.242e-09
3480.180,2.518e-08,1.957e-09
3484.434,1.537e-08,1.882e-09
3488.688,1.155e-08,1.932e-09
3492.943,1.708e-08,2.148e-09
3497.198,1.393e-08,2.393e-09
3501.454,1.642e-08,2.466e-09
3505.709,8.369e-09,2.444e-09
3509.965,1.647e-08,2.331e-09
3514.222,7.024e-09,2.121e-09
3518.479,1.721e-08,1.840e-09
3522.736,7.994e-09,1.484e-09
3526.993,1.266e-08,1.201e-09
3531.251,1.155e-09,9.981e-10
3535.509,-1.155e-09,8.834e-10
3539.768,1.276e-08,8.159e-10
3544.027,5.259e-09,7.821e-10
3548.286,5.111e-09,7.297e-10
3552.546,4.126e-09,6.965e-10
3556.806,3.813e-09,6.718e-10
3561.066,4.609e-09,6.349e-10
3565.326,9.144e-09,6.219e-10
3569.587,8.065e-09,5.826e-10
3573.849,4.120e-09,5.499e-10
3578.110,2.999e-09,5.233e-10
3582.372,4.405e-09,4.833e-10
3586.635,2.314e-09,4.495e-10
3590.897,6.214e-09,4.222e-10
3595.160,2.907e-09,3.928e-10
3599.423,4.657e-09,3.646e-10
3603.687,3.528e-09,3.332e-10
3607.951,2.085e-09,3.070e-10
3612.215,2.698e-09,2.837e-10
3616.480,2.626e-09,2.579e-10
3620.745,2.108e-09,2.394e-10
3625.010,3.901e-09,2.233e-10
3629.276,3.109e-09,2.175e-10
3633.542,3.085e-09,2.056e-10
3637.809,3.792e-09,1.974e-10
3642.075,3.723e-09,1.871e-10
3646.342,3.143e-09,1.757e-10
3650.610,3.454e-09,1.628e-10
3654.877,2.749e-09,1.490e-10
3659.145,3.696e-09,1.404e-10
3663.414,3.398e-09,1.313e-10
3667.682,3.674e-09,1.239e-10
3671.951,2.741e-09,1.145e-10
3676.221,2.696e-09,1.111e-10
3680.490,2.788e-09,1.047e-10
3684.760,3.078e-09,1.019e-10
3689.031,3.275e-09,9.568e-11
3693.301,3.288e-09,9.151e-11
3697.572,3.168e-09,8.414e-11
3701.844,2.578e-09,7.646e-11
3706.115,2.835e-09,7.030e-11
3710.387,2.404e-09,6.519e-11
3714.660,2.580e-09,6.198e-11
3718.932,2.353e-09,6.022e-11
3723.205,2.088e-09,5.663e-11
3727.479,2.482e-09,5.459e-11
3731.752,2.466e-09,5.268e-11
3736.026,2.390e-09,4.971e-11
3740.301,2.297e-09,4.860e-11
3744.575,2.290e-09,4.571e-11
3748.850,2.214e-09,4.346e-11
3753.125,2.284e-09,4.163e-11
3757.401,2.296e-09,3.993e-11
3761.677,2.289e-09,3.883e-11
3765.953,2.502e-09,3.860e-11
3770.230,2.472e-09,3.765e-11
3774.507,2.463e-09,3.594e-11
3778.784,2.393e-09,3.341e-11
3783.061,2.224e-09,3.117e-11
3787.339,2.292e-09,2.995e-11
3791.617,2.149e-09,2.876e-11
3795.896,2.231e-09,2.808e-11
3800.175,2.173e-09,2.739e-11
3804.454,2.230e-09,2.651e-11
3808.733,2.148e-09,2.599e-11
3813.013,2.074e-09,2.496e-11
3817.293,2.005e-09,2.396e-11
3821.574,1.953e-09,2.275e-11
3825.854,1.797e-09,2.081e-11
3830.135,1.642e-09,1.921e-11
3834.417,1.520e-09,1.799e-11
3838.698,1.561e-09,1.749e-11
3842.980,1.578e-09,1.756e-11
3847.263,1.648e-09,1.785e-11
3851.545,1.820e-09,1.816e-11
3855.828,1.934e-09,1.793e-11
3860.112,1.904e-09,1.748e-11
3864.395,1.810e-09,1.642e-11
3868.679,1.854e-09,1.575e-11
3872.963,1.759e-09,1.515e-11
3877.248,1.790e-09,1.479e-11
3881.533,1.864e-09,1.461e-11
3885.818,1.864e-09,1.434e-11
3890.103,1.999e-09,1.443e-11
3894.389,2.019e-09,1.441e-11
3898.675,2.174e-09,1.458e-11
3902.962,2.209e-09,1.452e-11
3907.249,2.250e-09,1.440e-11
3911.536,2.241e-09,1.406e-11
3915.823,2.129e-09,1.342e-11
3920.111,1.958e-09,1.273e-11
3924.399,1.910e-09,1.220e-11
3928.687,1.773e-09,1.151e-11
3932.975,1.707e-09,1.110e-11
3937.264,1.637e-09,1.064e-11
3941.554,1.605e-09,1.042e-11
3945.843,1.585e-09,1.010e-11
3950.133,1.716e-09,1.027e-11
3954.423,1.814e-09,1.037e-11
3958.713,1.860e-09,1.026e-11
3963.004,1.867e-09,1.018e-11
3967.295,1.858e-09,1.002e-11
3971.587,1.858e-09,9.931e-12
