wave,inten,std
3420.660,2.101,nan
3424.909,2.074,nan
3429.159,1.562,nan
3433.409,-1.460,nan
3437.659,-0.806,nan
3441.909,-3.524,nan
3446.160,-1.751,nan
3450.411,-1.770,nan
3454.663,3.987,nan
3458.915,-2.196,nan
3463.167,2.592,nan
3467.420,0.229,nan
3471.673,6.878,nan
3475.926,-5.287,nan
3480.180,-0.770,nan
3484.434,-1.610,nan
3488.688,2.474,nan
3492.943,-0.827,nan
3497.198,0.082,nan
3501.454,-1.142,nan
3505.709,0.491,nan
3509.965,-2.441,nan
3514.222,5.185,nan
3518.479,0.408,nan
3522.736,3.158,nan
3526.993,0.319,nan
3531.251,5.720,nan
3535.509,-4.668,nan
3539.768,0.000,nan
3544.027,-1.700,nan
3548.286,4.857,nan
3552.546,-3.082,nan
3556.806,4.229,nan
3561.066,-3.493,nan
3565.326,4.114,0.125
3569.587,1.961,nan
3573.849,6.074,nan
3578.110,2.039,nan
3582.372,5.483,nan
3586.635,0.418,nan
3590.897,3.633,nan
3595.160,0.021,nan
3599.423,3.679,0.084
3603.687,0.407,nan
3607.951,1.020,nan
3612.215,3.432,nan
3616.480,6.679,0.260
3620.745,10.726,0.305
3625.010,7.111,0.344
3629.276,-0.344,nan
3633.542,8.679,0.352
3637.809,7.198,0.290
3642.075,7.693,nan
3646.342,-1.247,nan
3650.610,11.207,0.348
3654.877,10.400,0.331
3659.145,3.481,nan
3663.414,4.493,0.253
3667.682,12.826,0.461
3671.951,2.340,0.167
3676.221,6.439,0.411
3680.490,11.187,0.530
3684.760,14.806,0.561
3689.031,9.653,0.430
3693.301,11.723,0.605
3697.572,13.402,0.533
3701.844,15.679,0.693
3706.115,10.554,0.509
3710.387,18.594,0.714
3714.660,9.091,0.498
3718.932,15.177,0.676
3723.205,12.531,0.645
3727.479,15.807,0.648
3731.752,17.876,0.702
3736.026,25.193,0.817
3740.301,21.994,0.771
3744.575,25.280,0.860
3748.850,25.573,0.880
3753.125,30.497,0.970
3757.401,29.053,0.972
3761.677,39.563,1.117
3765.953,34.455,1.072
3770.230,42.943,1.152
3774.507,46.000,1.237
3778.784,46.494,1.229
3783.061,45.668,1.185
3787.339,50.024,1.251
3791.617,49.119,1.269
3795.896,56.710,1.352
3800.175,57.790,1.375
3804.454,59.059,1.413
3808.733,62.081,1.416
3813.013,60.338,1.405
3817.293,64.874,1.446
3821.574,62.957,1.449
3825.854,60.735,1.427
3830.135,68.181,1.467
3834.417,69.113,1.543
3838.698,75.109,1.613
3842.980,88.140,1.671
3847.263,81.207,1.640
3851.545,82.743,1.657
3855.828,86.234,1.698
3860.112,92.585,1.775
3864.395,100.871,1.826
3868.679,98.074,1.814
3872.963,113.138,1.931
3877.248,115.245,1.949
3881.533,119.750,1.972
3885.818,128.090,2.078
3890.103,142.208,2.164
3894.389,143.145,2.190
3898.675,155.639,2.294
3902.962,162.390,2.357
3907.249,173.947,2.431
3911.536,178.527,2.478
3915.823,181.798,2.480
3920.111,167.839,2.420
3924.399,169.871,2.418
3928.687,166.444,2.390
3932.975,171.703,2.435
3937.264,172.693,2.427
3941.554,183.628,2.517
3945.843,187.478,2.543
3950.133,209.364,2.682
3954.423,223.461,2.758
3958.713,223.751,2.786
3963.004,236.551,2.841
3967.295,250.264,2.922
3971.587,256.069,2.982
3975.878,272.549,3.065
3980.170,291.585,3.165
3984.463,329.244,3.382
3988.755,369.759,3.579
3993.048,414.528,3.776
3997.341,430.982,3.860
4001.635,458.798,3.970
4005.929,476.741,4.065
4010.223,483.222,4.091
4014.517,504.596,4.206
4018.812,518.237,4.236
4023.107,536.588,4.320
4027.402,539.140,4.338
4031.698,551.452,4.379
4035.994,575.106,4.471
4040.290,552.731,4.392
4044.586,578.598,4.484
4048.883,590.876,4.534
4053.180,592.512,4.551
4057.478,600.563,4.573
4061.775,618.260,4.638
4066.073,627.940,4.667
4070.372,644.006,4.723
