wave,inten,std
3420.660,126.061,31.899
3424.909,159.238,33.555
3429.159,140.677,33.035
3433.409,117.603,32.941
3437.659,203.243,33.743
3441.909,122.691,33.427
3446.160,255.719,32.799
3450.411,145.462,34.477
3454.663,213.573,34.146
3458.915,237.681,33.318
3463.167,157.071,31.862
3467.420,150.193,31.762
3471.673,193.524,32.932
3475.926,110.229,33.482
3480.180,211.689,33.213
3484.434,131.470,33.102
3488.688,159.972,34.496
3492.943,186.393,32.596
3497.198,67.964,33.000
3501.454,193.970,33.902
3505.709,81.563,33.557
3509.965,290.778,33.910
3514.222,208.424,33.830
3518.479,207.455,33.089
3522.736,102.546,33.022
3526.993,90.637,32.789
3531.251,159.349,33.270
3535.509,98.491,34.098
3539.768,188.123,34.702
3544.027,231.492,33.987
3548.286,150.947,32.948
3552.546,141.916,33.242
3556.806,145.627,33.282
3561.066,213.183,34.051
3565.326,186.022,34.396
3569.587,107.282,32.471
3573.849,218.835,33.258
3578.110,125.796,33.480
3582.372,291.992,34.898
3586.635,401.249,35.528
3590.897,286.146,35.594
3595.160,192.822,34.644
3599.423,170.103,34.250
3603.687,166.047,33.788
3607.951,181.060,34.746
3612.215,242.196,35.206
3616.480,266.880,35.355
3620.745,255.134,35.722
3625.010,267.997,35.418
3629.276,342.096,35.890
3633.542,345.980,35.314
3637.809,272.301,35.329
3642.075,349.208,36.807
3646.342,124.934,35.179
3650.610,355.631,37.013
3654.877,438.615,36.338
3659.145,303.050,35.657
3663.414,275.883,35.955
3667.682,559.274,37.912
3671.951,453.885,37.230
3676.221,455.521,38.222
3680.490,404.797,37.615
3684.760,495.762,38.480
3689.031,606.507,39.050
3693.301,559.434,38.723
3697.572,612.545,39.134
3701.844,578.311,39.260
3706.115,577.933,38.303
3710.387,721.852,40.667
3714.660,548.440,39.431
3718.932,665.378,40.217
3723.205,709.095,41.497
3727.479,753.124,41.551
3731.752,784.463,42.255
3736.026,847.871,42.973
3740.301,809.329,41.831
3744.575,833.794,43.096
3748.850,935.350,44.130
3753.125,1115.486,45.223
3757.401,1055.147,45.010
3761.677,1066.584,45.117
3765.953,1036.325,45.281
3770.230,1319.281,46.906
3774.507,1154.706,47.726
3778.784,1490.856,48.678
3783.061,1371.091,50.027
3787.339,1563.008,50.124
3791.617,1456.754,49.453
3795.896,1577.727,50.458
3800.175,1747.959,53.240
3804.454,1696.783,52.317
3808.733,1511.974,50.765
3813.013,1803.393,52.832
3817.293,1826.758,52.460
3821.574,1814.382,53.347
3825.854,1924.532,53.904
3830.135,1988.687,54.328
3834.417,1832.937,54.248
3838.698,2063.823,55.775
3842.980,2041.483,55.866
3847.263,2275.735,56.829
3851.545,2369.162,57.894
3855.828,2531.967,59.772
3860.112,2752.118,61.580
3864.395,2865.806,62.758
3868.679,2800.673,62.235
3872.963,3072.765,64.036
3877.248,3131.216,65.271
3881.533,3486.127,67.113
3885.818,3466.171,68.079
3890.103,3852.184,70.037
3894.389,4079.064,71.718
3898.675,4261.153,73.488
3902.962,4518.449,74.477
3907.249,4967.486,77.056
3911.536,5209.646,79.288
3915.823,5006.486,78.146
3920.111,4724.081,76.435
3924.399,4611.121,75.973
3928.687,5046.701,78.636
3932.975,4804.894,76.790
3937.264,4782.453,76.510
3941.554,5184.145,79.375
3945.843,5589.883,81.631
3950.133,5778.939,82.594
3954.423,6605.015,87.426
3958.713,6553.887,87.239
3963.004,6882.116,89.236
3967.295,7415.886,91.781
3971.587,7651.107,93.546
3975.878,7758.133,93.890
3980.170,8604.864,99.102
3984.463,10239.011,106.386
3988.755,11326.940,111.670
3993.048,12862.220,118.027
3997.341,13604.527,121.432
4001.635,13844.923,122.838
4005.929,14970.548,126.848
4010.223,15608.532,128.928
4014.517,15782.922,130.500
4018.812,16195.672,131.675
4023.107,17203.848,135.647
4027.402,17369.468,136.421
4031.698,18209.442,139.266
4035.994,18225.307,139.363
4040.290,18174.511,139.120
4044.586,18768.521,141.049
4048.883,19208.979,142.927
4053.180,19546.531,143.779
4057.478,20288.027,146.291
4061.775,20533.329,147.450
4066.073,21049.131,149.023
4070.372,21318.758,150.022
4074.670,22311.794,152.842
4078.969,23242.054,156.439
4083.268,23998.776,158.457
4087.568,24777.316,160.973
4091.868,25279.654,162.813
4096.168,26480.468,166.309
4100.468,26645.425,167.187
4104.769,26500.052,166.595
4109.070,27800.433,170.030
4113.371,29092.824,173.815
4117.673,29934.595,176.530
4121.975,31271.600,180.153
4126.277,31867.127,181.999
4130.579,32602.974,183.951
4134.882,32797.905,184.535
4139.185,33225.493,185.485
4143.488,34377.413,188.549
4147.792,35016.783,190.283
4152.096,35265.418,190.713
