wave,flux,error
3420.660,2.043e-08,5.427e-09
3424.909,1.321e-08,2.533e-09
3429.159,2.503e-09,1.344e-09
3433.409,3.134e-09,8.589e-10
3437.659,1.882e-09,6.047e-10
3441.909,2.235e-09,5.008e-10
3446.160,1.092e-09,4.875e-10
3450.411,3.402e-09,4.731e-10
3454.663,1.274e-09,4.345e-10
3458.915,2.838e-09,4.287e-10
3463.167,1.056e-09,3.892e-10
3467.420,1.956e-09,3.662e-10
3471.673,7.740e-10,3.156e-10
3475.926,6.626e-10,2.687e-10
3480.180,7.671e-10,2.394e-10
3484.434,1.011e-09,2.277e-10
3488.688,3.512e-10,2.329e-10
3492.943,1.181e-09,2.578e-10
3497.198,1.272e-09,2.796e-10
3501.454,1.847e-09,2.983e-10
3505.709,1.452e-09,2.924e-10
3509.965,7.919e-10,2.780e-10
3514.222,6.961e-10,2.508e-10
3518.479,1.040e-09,2.156e-10
3522.736,2.742e-10,1.764e-10
3526.993,4.840e-10,1.468e-10
3531.251,4.940e-10,1.209e-10
3535.509,6.113e-10,1.083e-10
3539.768,6.047e-10,1.011e-10
3544.027,5.709e-10,9.566e-11
3548.286,5.913e-10,8.974e-11
3552.546,6.029e-10,8.522e-11
3556.806,4.781e-10,7.948e-11
3561.066,3.885e-10,7.491e-11
3565.326,3.747e-10,7.258e-11
3569.587,5.041e-10,6.953e-11
3573.849,5.151e-10,6.609e-11
3578.110,3.429e-10,6.125e-11
3582.372,3.627e-10,5.703e-11
3586.635,5.032e-10,5.604e-11
3590.897,2.824e-10,4.971e-11
3595.160,2.433e-10,4.726e-11
3599.423,2.343e-10,4.310e-11
3603.687,3.688e-10,4.089e-11
3607.951,2.575e-10,3.691e-11
3612.215,2.545e-10,3.464e-11
3616.480,2.172e-10,3.084e-11
3620.745,2.375e-10,2.958e-11
3625.010,2.077e-10,2.703e-11
3629.276,2.547e-10,2.573e-11
3633.542,1.808e-10,2.413e-11
3637.809,1.918e-10,2.309e-11
3642.075,1.860e-10,2.138e-11
3646.342,2.048e-10,2.049e-11
3650.610,1.647e-10,1.845e-11
3654.877,1.817e-10,1.741e-11
3659.145,1.544e-10,1.584e-11
3663.414,1.842e-10,1.522e-11
3667.682,1.987e-10,1.408e-11
3671.951,1.450e-10,1.319e-11
3676.221,1.621e-10,1.247e-11
3680.490,1.315e-10,1.161e-11
3684.760,1.299e-10,1.128e-11
3689.031,1.423e-10,1.085e-11
3693.301,1.513e-10,1.018e-11
3697.572,1.359e-10,9.427e-12
3701.844,1.471e-10,8.518e-12
3706.115,1.166e-10,7.803e-12
