wave,inten,std
3420.660,188.568,36.421
3424.909,198.078,37.625
3429.159,163.066,37.157
3433.409,98.793,36.496
3437.659,117.905,36.009
3441.909,191.711,35.337
3446.160,88.588,35.392
3450.411,142.106,36.809
3454.663,173.001,36.705
3458.915,112.299,36.435
3463.167,203.795,36.186
3467.420,144.727,36.100
3471.673,118.054,36.290
3475.926,106.729,36.261
3480.180,163.296,37.165
3484.434,195.453,37.046
3488.688,118.977,36.388
3492.943,168.109,36.630
3497.198,121.328,35.938
3501.454,230.769,37.210
3505.709,110.964,36.092
3509.965,147.285,36.709
3514.222,144.042,36.711
3518.479,156.557,37.065
3522.736,145.644,37.404
3526.993,196.440,37.325
3531.251,234.661,37.624
3535.509,265.338,38.240
3539.768,172.286,36.533
3544.027,232.945,37.179
3548.286,116.218,35.553
3552.546,222.454,36.885
3556.806,283.696,37.017
3561.066,248.792,37.277
3565.326,235.140,36.488
3569.587,315.582,37.431
3573.849,203.538,37.070
3578.110,215.898,36.494
3582.372,151.061,36.583
3586.635,186.126,37.726
3590.897,281.460,38.741
3595.160,241.016,38.370
3599.423,162.045,37.883
3603.687,203.684,37.714
3607.951,231.929,38.671
3612.215,187.315,37.306
3616.480,309.577,38.935
3620.745,226.425,38.280
3625.010,333.249,39.006
3629.276,343.018,38.890
3633.542,307.516,39.578
3637.809,389.130,40.358
3642.075,480.039,40.658
3646.342,350.797,40.458
3650.610,377.526,39.014
3654.877,388.391,40.015
3659.145,490.685,41.230
3663.414,396.636,40.865
3667.682,493.860,41.636
3671.951,543.336,41.907
3676.221,460.246,40.799
3680.490,472.021,41.946
3684.760,565.259,41.967
3689.031,605.553,43.204
3693.301,566.942,42.568
3697.572,704.754,44.102
3701.844,736.835,43.251
3706.115,792.204,44.763
3710.387,724.027,43.610
3714.660,686.128,43.584
3718.932,748.564,44.617
3723.205,725.466,44.517
3727.479,901.942,45.340
3731.752,864.777,45.279
3736.026,939.532,46.302
3740.301,839.282,45.285
3744.575,1073.197,47.229
3748.850,1180.097,48.651
3753.125,1051.220,47.536
3757.401,1243.587,49.168
3761.677,1267.345,49.031
3765.953,1505.792,52.397
3770.230,1416.218,51.125
3774.507,1577.620,53.354
3778.784,1592.297,52.683
3783.061,1928.198,55.643
