wave,inten,std
3420.660,1.624,0.199
3424.909,0.596,0.156
3429.159,0.667,0.109
3433.409,2.334,0.233
3437.659,-0.255,nan
3441.909,-0.696,0.185
3446.160,0.529,0.136
3450.411,0.404,0.148
3454.663,-0.460,0.110
3458.915,0.449,0.135
3463.167,2.259,0.269
3467.420,0.972,0.151
3471.673,-1.059,nan
3475.926,-0.450,0.075
3480.180,-1.341,nan
3484.434,-0.216,0.123
3488.688,-1.614,0.134
3492.943,0.804,0.158
3497.198,1.645,0.176
3501.454,2.690,0.196
3505.709,-0.359,0.088
3509.965,3.053,0.190
3514.222,-0.793,0.080
3518.479,3.652,0.227
3522.736,2.708,0.189
3526.993,0.500,0.051
3531.251,-1.468,0.118
3535.509,2.672,0.208
3539.768,0.327,0.090
3544.027,0.028,nan
3548.286,-1.555,0.099
3552.546,1.048,0.166
3556.806,0.484,0.189
3561.066,3.886,0.237
3565.326,-1.800,0.075
3569.587,-1.784,nan
3573.849,2.892,0.257
3578.110,-0.517,nan
3582.372,0.199,0.111
3586.635,-2.518,nan
3590.897,0.970,0.188
3595.160,0.777,0.220
3599.423,-0.033,0.167
3603.687,1.236,0.235
3607.951,2.375,0.189
3612.215,-0.458,0.183
3616.480,1.505,0.215
3620.745,0.299,0.118
3625.010,-0.135,0.044
3629.276,2.481,0.222
3633.542,2.112,0.202
3637.809,0.276,0.145
3642.075,1.788,0.246
3646.342,2.254,0.192
3650.610,0.042,0.161
3654.877,2.503,0.208
3659.145,3.275,0.274
3663.414,0.444,0.199
3667.682,0.469,0.187
3671.951,2.065,0.213
3676.221,1.296,0.234
3680.490,1.735,0.245
3684.760,1.461,0.253
3689.031,2.363,0.291
3693.301,1.519,0.247
3697.572,1.335,0.261
3701.844,4.156,0.241
3706.115,4.617,0.299
3710.387,2.986,0.214
3714.660,2.986,0.269
3718.932,2.745,0.208
3723.205,1.342,0.244
3727.479,4.020,0.248
3731.752,2.433,0.293
3736.026,2.645,0.293
3740.301,0.258,0.227
3744.575,1.734,0.294
3748.850,6.111,0.373
3753.125,3.110,0.316
3757.401,2.995,0.275
3761.677,6.044,0.383
3765.953,2.477,0.276
3770.230,4.074,0.341
3774.507,5.382,0.339
3778.784,4.417,0.363
3783.061,5.583,0.385
3787.339,5.463,0.364
3791.617,6.350,0.396
3795.896,4.807,0.385
3800.175,6.431,0.439
3804.454,8.190,0.426
3808.733,5.824,0.382
3813.013,5.752,0.410
3817.293,12.823,0.483
3821.574,6.581,0.396
3825.854,8.646,0.455
3830.135,6.705,0.391
3834.417,7.554,0.457
3838.698,8.759,0.470
3842.980,8.970,0.469
3847.263,8.133,0.470
3851.545,8.970,0.474
3855.828,10.936,0.520
3860.112,10.347,0.524
3864.395,9.640,0.519
3868.679,10.342,0.518
3872.963,11.938,0.540
3877.248,13.783,0.544
3881.533,9.484,0.537
3885.818,13.036,0.572
3890.103,13.857,0.595
3894.389,13.827,0.592
3898.675,16.183,0.650
3902.962,17.870,0.663
3907.249,16.521,0.671
3911.536,19.109,0.683
3915.823,20.323,0.700
3920.111,19.169,0.680
3924.399,17.432,0.658
3928.687,18.797,0.675
3932.975,19.209,0.683
3937.264,21.918,0.703
3941.554,19.817,0.687
3945.843,21.673,0.725
3950.133,20.963,0.701
3954.423,24.785,0.764
3958.713,22.051,0.733
3963.004,20.079,0.730
3967.295,22.119,0.759
3971.587,22.298,0.768
3975.878,25.704,0.802
3980.170,31.965,0.854
3984.463,30.898,0.872
3988.755,35.228,0.940
3993.048,40.852,0.995
3997.341,43.750,1.018
4001.635,44.859,1.022
4005.929,39.713,1.002
4010.223,46.425,1.045
4014.517,51.127,1.083
4018.812,46.503,1.057
4023.107,48.956,1.076
4027.402,51.174,1.101
4031.698,60.790,1.151
4035.994,56.241,1.145
4040.290,54.690,1.140
4044.586,53.858,1.152
4048.883,54.146,1.175
4053.180,55.832,1.182
4057.478,57.390,1.198
4061.775,57.026,1.187
4066.073,64.509,1.218
4070.372,64.669,1.203
4074.670,68.096,1.236
4078.969,65.402,1.226
4083.268,66.017,1.223
4087.568,64.081,1.258
4091.868,71.926,1.279
4096.168,70.208,1.272
4100.468,69.523,1.280
4104.769,68.600,1.277
4109.070,72.595,1.311
4113.371,75.725,1.326
4117.673,85.450,1.392
4121.975,83.931,1.392
4126.277,84.548,1.386
4130.579,80.928,1.372
4134.882,87.819,1.419
4139.185,94.477,1.414
4143.488,92.963,1.443
4147.792,90.956,1.435
4152.096,93.159,1.447
4156.400,94.414,1.455
4160.704,100.230,1.483
4165.009,100.840,1.501
4169.314,93.797,1.481
4173.620,100.877,1.509
4177.925,104.198,1.501
4182.231,94.517,1.482
4186.537,103.687,1.536
4190.844,109.281,1.546
4195.151,103.174,1.534
4199.458,106.618,1.555
4203.765,104.811,1.555
4208.073,112.617,1.597
4212.381,111.409,1.591
4216.689,113.641,1.622
4220.997,120.883,1.631
4225.306,115.049,1.624
4229.615,114.046,1.626
4233.925,115.756,1.633
4238.234,119.962,1.665
4242.544,124.482,1.674
4246.854,128.503,1.712
4251.165,127.687,1.719
4255.476,129.837,1.737
4259.787,133.137,1.747
4264.098,137.333,1.773
4268.409,134.326,1.761
4272.721,129.456,1.754
4277.034,133.875,1.775
4281.346,128.760,1.755
4285.659,135.815,1.780
4289.972,133.683,1.797
4294.285,130.104,1.787
4298.599,123.346,1.742
4302.912,127.059,1.738
4307.227,121.478,1.760
4311.541,130.797,1.813
4315.856,139.182,1.878
4320.171,149.727,1.946
4324.486,162.712,1.991
4328.801,158.835,1.984
4333.117,162.652,2.009
4337.433,166.894,2.035
4341.749,165.698,2.041
4346.066,173.361,2.096
4350.383,177.868,2.153
4354.700,187.828,2.235
4359.017,187.740,2.274
4363.335,193.267,2.291
4367.653,195.072,2.265
4371.971,191.757,2.226
4376.290,197.671,2.249
4380.609,189.701,2.242
4384.928,193.186,2.230
4389.247,185.578,2.242
4393.566,201.922,2.305
4397.886,202.454,2.331
4402.206,207.703,2.366
4406.527,214.922,2.393
4410.847,216.230,2.425
4415.168,214.966,2.428
4419.490,232.277,2.504
4423.811,233.030,2.518
4428.133,233.697,2.541
4432.455,241.569,2.577
4436.777,242.568,2.579
4441.100,241.575,2.587
4445.422,243.304,2.609
4449.745,249.664,2.637
4454.069,240.374,2.605
4458.392,247.676,2.654
4462.716,243.616,2.658
4467.040,255.912,2.708
4471.365,261.526,2.733
4475.689,271.265,2.771
4480.014,267.052,2.762
4484.339,277.840,2.794
4488.665,280.441,2.810
4492.990,281.947,2.827
4497.316,301.334,2.884
4501.643,309.134,2.901
4505.969,315.791,2.910
4510.296,316.166,2.920
4514.623,304.777,2.899
4518.950,312.623,2.898
4523.278,308.387,2.887
4527.605,303.254,2.868
4531.933,300.782,2.854
4536.262,316.449,2.889
4540.590,323.555,2.899
4544.919,323.182,2.887
4549.248,325.755,2.884
4553.577,327.746,2.867
4557.907,337.651,2.919
4562.237,339.017,2.902
4566.567,351.901,2.915
4570.897,358.006,2.933
4575.228,363.431,2.938
4579.558,358.965,2.922
4583.890,356.215,2.897
4588.221,354.159,2.887
4592.553,364.510,2.917
4596.884,374.734,2.923
4601.216,374.028,2.927
4605.549,383.316,2.956
4609.881,401.045,2.993
4614.214,406.806,2.995
4618.547,405.430,2.996
4622.881,416.743,3.015
4627.214,422.154,3.024
4631.548,417.110,3.012
4635.882,410.465,2.986
4640.217,415.788,2.992
4644.551,416.850,2.986
4648.886,414.667,2.997
4653.221,424.028,3.008
4657.556,432.326,3.029
4661.892,429.262,3.019
4666.228,436.853,3.030
4670.564,433.433,3.022
4674.900,447.557,3.053
4679.237,448.572,3.048
4683.574,464.461,3.099
4687.911,461.608,3.090
4692.248,460.105,3.078
4696.586,464.441,3.082
4700.923,455.891,3.061
4705.261,469.881,3.085
4709.600,487.200,3.127
4713.938,486.350,3.131
4718.277,508.528,3.176
4722.616,510.151,3.189
4726.955,505.770,3.180
4731.295,511.281,3.191
4735.634,519.373,3.224
4739.974,519.310,3.211
4744.315,539.140,3.258
4748.655,531.196,3.228
4752.996,548.372,3.268
4757.337,534.632,3.230
4761.678,536.021,3.227
4766.019,545.377,3.251
4770.361,562.026,3.298
4774.703,577.930,3.329
4779.045,580.824,3.348
4783.387,581.827,3.351
4787.730,579.899,3.331
4792.073,591.794,3.367
4796.416,604.517,3.400
4800.759,598.404,3.382
4805.102,607.898,3.410
4809.446,642.516,3.487
4813.790,633.756,3.479
4818.134,658.987,3.538
4822.479,694.776,3.614
4826.823,669.999,3.567
4831.168,683.020,3.587
4835.514,689.516,3.610
4839.859,651.190,3.518
4844.205,644.229,3.503
