wave,flux,error
3420.660,2.414e-10,2.958e-11
3424.909,4.122e-11,1.079e-11
3429.159,2.484e-11,4.060e-12
3433.409,5.421e-11,5.412e-12
3437.659,-4.276e-12,nan
3441.909,-9.754e-12,2.593e-12
3446.160,7.035e-12,1.809e-12
3450.411,5.169e-12,1.894e-12
3454.663,-5.639e-12,1.348e-12
3458.915,5.249e-12,1.578e-12
3463.167,2.488e-11,2.963e-12
3467.420,9.766e-12,1.517e-12
3471.673,-9.390e-12,nan
3475.926,-3.407e-12,5.678e-13
3480.180,-8.857e-12,nan
3484.434,-1.348e-12,7.678e-13
3488.688,-1.032e-11,8.566e-13
3492.943,5.685e-12,1.117e-12
3497.198,1.275e-11,1.364e-12
3501.454,2.177e-11,1.586e-12
3505.709,-2.893e-12,7.090e-13
3509.965,2.334e-11,1.452e-12
3514.222,-5.481e-12,5.529e-13
3518.479,2.175e-11,1.352e-12
3522.736,1.324e-11,9.244e-13
3526.993,1.960e-12,1.999e-13
3531.251,-4.823e-12,3.877e-13
3535.509,7.724e-12,6.013e-13
3539.768,8.733e-13,2.403e-13
3544.027,7.096e-14,nan
3548.286,-3.739e-12,2.380e-13
3552.546,2.390e-12,3.786e-13
3556.806,1.047e-12,4.087e-13
3561.066,7.966e-12,4.858e-13
3565.326,-3.497e-12,1.457e-13
3569.587,-3.284e-12,nan
3573.849,5.039e-12,4.478e-13
3578.110,-8.493e-13,nan
3582.372,3.067e-13,1.711e-13
3586.635,-3.622e-12,nan
3590.897,1.296e-12,2.512e-13
3595.160,9.595e-13,2.717e-13
3599.423,-3.748e-14,1.897e-13
3603.687,1.284e-12,2.442e-13
3607.951,2.257e-12,1.796e-13
3612.215,-4.003e-13,1.599e-13
3616.480,1.216e-12,1.737e-13
3620.745,2.245e-13,8.861e-14
3625.010,-9.474e-14,3.088e-14
3629.276,1.636e-12,1.464e-13
3633.542,1.315e-12,1.258e-13
3637.809,1.630e-13,8.564e-14
3642.075,9.932e-13,1.366e-13
3646.342,1.165e-12,9.921e-14
3650.610,1.997e-14,7.654e-14
3654.877,1.087e-12,9.034e-14
3659.145,1.306e-12,1.093e-13
3663.414,1.636e-13,7.331e-14
3667.682,1.606e-13,6.402e-14
3671.951,6.609e-13,6.817e-14
3676.221,3.901e-13,7.043e-14
3680.490,4.941e-13,6.978e-14
3684.760,3.959e-13,6.856e-14
3689.031,6.043e-13,7.442e-14
3693.301,3.609e-13,5.869e-14
3697.572,2.901e-13,5.672e-14
3701.844,8.157e-13,4.730e-14
3706.115,8.265e-13,5.353e-14
3710.387,4.948e-13,3.546e-14
3714.660,4.648e-13,4.187e-14
3718.932,4.058e-13,3.075e-14
3723.205,1.881e-13,3.420e-14
3727.479,5.331e-13,3.289e-14
3731.752,3.045e-13,3.667e-14
3736.026,3.118e-13,3.453e-14
3740.301,2.857e-14,2.514e-14
3744.575,1.800e-13,3.052e-14
3748.850,5.933e-13,3.622e-14
3753.125,2.836e-13,2.882e-14
3757.401,2.583e-13,2.372e-14
3761.677,4.965e-13,3.147e-14
3765.953,1.948e-13,2.171e-14
3770.230,3.037e-13,2.542e-14
3774.507,3.756e-13,2.366e-14
3778.784,2.848e-13,2.341e-14
3783.061,3.309e-13,2.282e-14
3787.339,3.017e-13,2.010e-14
3791.617,3.318e-13,2.069e-14
3795.896,2.413e-13,1.933e-14
3800.175,3.124e-13,2.132e-14
3804.454,3.844e-13,1.999e-14
3808.733,2.637e-13,1.730e-14
3813.013,2.509e-13,1.788e-14
3817.293,5.321e-13,2.004e-14
3821.574,2.555e-13,1.538e-14
3825.854,3.089e-13,1.626e-14
3830.135,2.181e-13,1.272e-14
3834.417,2.288e-13,1.384e-14
3838.698,2.543e-13,1.365e-14
3842.980,2.570e-13,1.344e-14
3847.263,2.331e-13,1.347e-14
3851.545,2.521e-13,1.332e-14
3855.828,2.949e-13,1.402e-14
3860.112,2.619e-13,1.326e-14
3864.395,2.275e-13,1.225e-14
3868.679,2.292e-13,1.148e-14
3872.963,2.503e-13,1.132e-14
3877.248,2.752e-13,1.086e-14
3881.533,1.816e-13,1.028e-14
3885.818,2.412e-13,1.058e-14
3890.103,2.494e-13,1.071e-14
3894.389,2.434e-13,1.042e-14
3898.675,2.780e-13,1.117e-14
3902.962,2.986e-13,1.108e-14
3907.249,2.676e-13,1.087e-14
