wave,flux,error
3420.660,7.705e-11,2.502e-11
3424.909,6.948e-11,2.030e-11
3429.159,-3.777e-11,1.751e-11
3433.409,4.801e-12,1.597e-11
3437.659,5.579e-11,1.563e-11
3441.909,-3.511e-11,1.415e-11
3446.160,1.925e-11,1.422e-11
3450.411,-1.444e-11,1.355e-11
3454.663,2.205e-11,1.422e-11
3458.915,-1.857e-12,1.499e-11
3463.167,4.574e-11,1.595e-11
3467.420,1.887e-11,1.562e-11
3471.673,-7.718e-12,1.481e-11
3475.926,-3.367e-11,1.353e-11
3480.180,1.139e-11,1.323e-11
3484.434,2.681e-12,1.195e-11
3488.688,3.982e-11,1.278e-11
3492.943,-4.730e-11,1.169e-11
3497.198,6.376e-11,1.331e-11
3501.454,-9.635e-12,1.134e-11
3505.709,3.339e-11,1.005e-11
3509.965,-1.084e-11,7.323e-12
3514.222,3.227e-11,6.828e-12
3518.479,-2.432e-11,5.923e-12
3522.736,2.701e-11,6.991e-12
3526.993,-4.982e-12,8.157e-12
3531.251,3.293e-11,9.247e-12
3535.509,-2.293e-11,8.346e-12
3539.768,-6.219e-12,7.720e-12
3544.027,-1.401e-11,6.993e-12
3548.286,1.444e-11,6.429e-12
3552.546,1.139e-11,6.018e-12
3556.806,1.798e-11,5.511e-12
3561.066,-4.022e-12,5.134e-12
3565.326,6.226e-12,5.183e-12
3569.587,-3.599e-13,5.178e-12
3573.849,1.838e-11,5.483e-12
3578.110,1.118e-11,5.332e-12
3582.372,2.980e-11,4.950e-12
3586.635,1.248e-11,4.138e-12
3590.897,1.099e-11,3.564e-12
3595.160,5.331e-12,3.129e-12
3599.423,1.941e-11,3.191e-12
3603.687,9.069e-12,2.975e-12
3607.951,2.105e-11,3.168e-12
3612.215,3.618e-12,2.839e-12
3616.480,1.761e-11,2.894e-12
3620.745,1.042e-11,2.549e-12
3625.010,1.387e-11,2.352e-12
3629.276,5.668e-12,2.098e-12
3633.542,1.631e-11,2.097e-12
3637.809,1.368e-11,1.976e-12
3642.075,1.406e-11,1.982e-12
3646.342,8.764e-12,1.817e-12
3650.610,1.513e-11,1.763e-12
3654.877,1.410e-11,1.525e-12
3659.145,1.693e-11,1.469e-12
3663.414,1.007e-11,1.291e-12
3667.682,1.291e-11,1.310e-12
3671.951,1.440e-11,1.343e-12
3676.221,1.306e-11,1.237e-12
3680.490,8.389e-12,1.126e-12
3684.760,1.481e-11,1.096e-12
3689.031,1.211e-11,1.037e-12
3693.301,1.271e-11,9.726e-13
3697.572,8.901e-12,8.955e-13
3701.844,1.310e-11,8.948e-13
3706.115,9.806e-12,8.271e-13
3710.387,1.247e-11,8.083e-13
3714.660,8.172e-12,7.030e-13
3718.932,1.077e-11,6.695e-13
3723.205,8.164e-12,6.133e-13
3727.479,9.647e-12,6.250e-13
3731.752,1.053e-11,6.324e-13
3736.026,1.097e-11,6.285e-13
3740.301,1.150e-11,6.199e-13
3744.575,1.094e-11,5.650e-13
3748.850,9.406e-12,5.053e-13
3753.125,1.066e-11,4.643e-13
3757.401,9.628e-12,4.428e-13
3761.677,1.155e-11,4.591e-13
3765.953,1.154e-11,4.674e-13
3770.230,1.299e-11,4.745e-13
3774.507,1.294e-11,4.668e-13
3778.784,1.066e-11,4.104e-13
3783.061,1.051e-11,3.754e-13
3787.339,1.104e-11,3.539e-13
3791.617,1.067e-11,3.326e-13
3795.896,1.017e-11,3.189e-13
3800.175,9.934e-12,3.163e-13
3804.454,1.003e-11,3.139e-13
3808.733,9.869e-12,3.085e-13
3813.013,1.122e-11,3.299e-13
3817.293,1.032e-11,3.104e-13
3821.574,1.005e-11,2.937e-13
3825.854,9.070e-12,2.648e-13
3830.135,7.989e-12,2.279e-13
3834.417,7.793e-12,2.115e-13
3838.698,7.241e-12,2.025e-13
3842.980,8.072e-12,2.133e-13
3847.263,9.259e-12,2.329e-13
3851.545,9.920e-12,2.431e-13
3855.828,9.499e-12,2.372e-13
3860.112,1.050e-11,2.352e-13
3864.395,1.037e-11,2.248e-13
3868.679,9.642e-12,2.102e-13
3872.963,9.589e-12,1.983e-13
3877.248,9.242e-12,1.876e-13
3881.533,9.338e-12,1.820e-13
3885.818,9.311e-12,1.764e-13
3890.103,9.594e-12,1.736e-13
3894.389,1.002e-11,1.751e-13
3898.675,1.055e-11,1.758e-13
3902.962,1.124e-11,1.798e-13
3907.249,1.126e-11,1.812e-13
3911.536,1.136e-11,1.822e-13
3915.823,1.077e-11,1.742e-13
3920.111,1.009e-11,1.652e-13
3924.399,9.051e-12,1.507e-13
3928.687,8.332e-12,1.393e-13
3932.975,8.624e-12,1.362e-13
3937.264,8.192e-12,1.328e-13
