wave,inten,std
3420.660,13.551,4.549
3424.909,17.534,4.537
3429.159,4.748,4.553
3433.409,10.477,4.496
3437.659,11.023,4.466
3441.909,-0.960,4.234
3446.160,10.211,4.509
3450.411,11.394,4.351
3454.663,12.189,4.349
3458.915,-6.778,4.314
3463.167,15.582,4.471
3467.420,-17.369,4.055
3471.673,33.289,4.641
3475.926,-8.279,4.152
3480.180,16.602,4.498
3484.434,8.805,4.463
3488.688,21.231,4.621
3492.943,-10.398,4.189
3497.198,5.579,4.435
3501.454,0.394,4.460
3505.709,16.457,4.443
3509.965,-1.274,4.283
3514.222,18.719,4.445
3518.479,-14.800,4.336
3522.736,15.248,4.460
3526.993,-1.754,4.393
3531.251,24.617,4.622
3535.509,-12.200,4.274
3539.768,11.659,4.431
3544.027,-0.885,4.360
3548.286,26.885,4.602
3552.546,6.129,4.420
3556.806,-0.612,4.359
3561.066,-3.185,4.480
3565.326,-5.045,4.338
3569.587,11.614,4.407
3573.849,13.898,4.420
3578.110,-0.034,4.458
3582.372,21.211,4.590
3586.635,14.861,4.646
3590.897,16.316,4.706
3595.160,2.284,4.465
3599.423,17.375,4.585
3603.687,16.766,4.575
3607.951,32.795,4.984
3612.215,-2.485,4.617
3616.480,21.626,4.679
3620.745,22.792,4.865
3625.010,28.432,4.843
3629.276,27.232,4.791
3633.542,31.523,4.852
3637.809,25.995,4.828
3642.075,42.086,4.993
3646.342,15.738,4.807
3650.610,55.881,5.209
3654.877,37.405,4.955
3659.145,33.266,5.029
3663.414,36.718,4.976
3667.682,64.692,5.436
3671.951,61.592,5.358
3676.221,59.509,5.383
3680.490,43.131,5.181
3684.760,72.709,5.408
3689.031,61.537,5.475
3693.301,83.945,5.578
3697.572,51.660,5.487
3701.844,79.899,5.714
3706.115,79.118,5.850
3710.387,99.777,5.998
3714.660,66.443,5.635
3718.932,95.999,5.732
3723.205,79.394,5.680
3727.479,104.378,6.047
3731.752,100.965,6.109
3736.026,124.615,6.347
3740.301,120.681,6.204
3744.575,134.230,6.325
3748.850,140.049,6.456
3753.125,156.540,6.602
3757.401,174.116,6.921
3761.677,186.087,7.187
3765.953,185.732,7.055
3770.230,201.911,7.267
3774.507,208.930,7.329
3778.784,215.418,7.386
3783.061,234.518,7.786
3787.339,270.567,8.003
3791.617,246.742,7.960
3795.896,268.579,7.959
3800.175,279.422,8.113
3804.454,274.234,7.948
3808.733,303.707,8.182
3813.013,274.155,8.113
3817.293,297.232,8.262
3821.574,292.664,8.279
3825.854,319.735,8.614
3830.135,323.116,8.632
3834.417,356.047,8.862
3838.698,375.224,9.046
3842.980,333.023,8.595
3847.263,409.999,9.356
3851.545,428.050,9.406
3855.828,425.165,9.576
3860.112,438.575,9.734
3864.395,480.434,9.979
3868.679,510.945,10.215
3872.963,536.314,10.368
3877.248,545.784,10.563
3881.533,587.232,10.733
3885.818,635.245,11.083
3890.103,649.946,11.293
3894.389,690.856,11.673
3898.675,765.149,11.987
3902.962,786.017,12.199
3907.249,814.232,12.429
3911.536,826.015,12.496
3915.823,829.491,12.463
3920.111,793.246,12.308
3924.399,819.801,12.498
3928.687,780.373,12.299
3932.975,812.788,12.386
3937.264,814.964,12.505
3941.554,849.655,12.683
3945.843,894.632,13.012
3950.133,970.874,13.537
3954.423,1047.071,13.933
3958.713,1114.827,14.355
3963.004,1114.680,14.334
3967.295,1214.152,14.887
3971.587,1239.697,15.034
3975.878,1290.251,15.329
